,TE,Overall,Player,AVG
0,1.0,21.0,Rob Gronkowski,1.0
1,2.0,28.0,Travis Kelce,2.0
2,3.0,39.0,Zach Ertz,3.0
3,4.0,49.0,Jimmy Graham,4.2
4,5.0,59.0,Greg lsen O,4.8
5,6.0,66.0,Evan Engram,6.3
6,7.0,74.0,Kyle Rudolph,8.0
7,8.0,76.0,Delanie Walker ,8.0
8,9.0,81.0,Trey Burton ,8.7
9,10.0,88.0,Jordan Reed ,9.2
10,11.0,116.0,Jack Doyle ,11.8
11,12.0,109.0,David Njoku,11.8
12,13.0,129.0,George Kittle,13.2
13,14.0,134.0,Tyler Eifert ,13.5
14,15.0,147.0,.J. Howard,16.2
15,16.0,167.0,Eric Ebron,17.5
16,17.0,193.0,Jared Cook,17.4
17,18.0,190.0,Austin Seferian-Jenkins,18.0
18,19.0,184.0,Benjamin Watson,24.0
19,20.0,198.0,Cameron Brate,20.0
20,21.0,210.0,Austin Hooper,22.2
21,22.0,215.0,Charles Clay,24.0
22,23.0,192.0,Ricky Seals-Jones,24.6
23,24.0,205.0,Mike Gesicki,21.0
24,25.0,235.0,Vance McDonald,26.5
25,26.0,263.0,Jesse James,29.3
26,27.0,260.0,Vernon Davis,29.5
27,28.0,231.0,Hayden Hurst,23.3
28,29.0,232.0,Antonio Gates,24.7
29,30.0,254.0,Jake Butt ,28.7
30,31.0,250.0,Dallas Goedert,29.3
31,32.0,275.0,Nick Vannett,33.3
32,33.0,291.0,Luke Willson,29.5
33,34.0,302.0,Blake Jarwin,32.0
34,35.0,293.0,Ryan Griffin,32.5
35,36.0,296.0,Hunter Henry,35.5
36,37.0,304.0,Virgil Green,34.0
37,38.0,320.0,Mark Andrews,35.0
38,39.0,300.0,Garrett Celek,23.0
39,40.0,333.0,Geoff Swaim,39.0
40,41.0,353.0,Tyler Higbee,39.5
41,42.0,339.0,Rico Gathers,39.5
42,43.0,362.0,Jordan Akins,40.5
43,44.0,347.0,Gerald Everett,41.0
44,45.0,297.0,Jaylen Samuels,36.0
45,46.0,369.0,Tyler Kroft,42.5
46,47.0,346.0,Adam Shaheen,39.0
47,48.0,408.0,Jeff Heuerman ,40.0
48,49.0,366.0,Jonnu Smith,43.0
49,50.0,415.0,Stephen Anderson,44.0
50,51.0,374.0,Marcedes Lewis,45.0
51,52.0,416.0,Ed Dickson,45.0
52,53.0,418.0,Chris Herndon IV,46.0
53,54.0,383.0,Coby Fleener,48.0
54,55.0,420.0,Seth DeValve,48.0
55,56.0,396.0,Eric Tomlinson,50.0
56,57.0,401.0,Aaron Hernandez,51.0
57,58.0,402.0,Derek Carrier,52.0
58,,,,
59,,,,
