,QB,Overall,Player,ESPN,Yahoo,AVG
0,1.0,12.0,Patrick Mahomes II,1.0,1.0,1.0
1,2.0,37.0,Deshaun Watson,2.0,2.0,2.0
2,3.0,47.0,Aaron Rodgers,3.0,3.0,3.0
3,4.0,54.0,Baker Mayfield,5.0,4.0,4.2
4,5.0,62.0,Matt Ryan,4.0,6.0,5.3
5,6.0,71.0,Drew Brees,6.0,8.0,7.0
6,7.0,72.0,Carson Wentz,8.0,9.0,7.5
7,8.0,82.0,Russell Wilson,11.0,7.0,8.7
8,9.0,79.0,Jared Goff,13.0,12.0,8.8
9,10.0,89.0,Cam Newton ,7.0,10.0,9.7
10,11.0,96.0,Ben Roethlisberger ,10.0,15.0,12.3
11,12.0,105.0,Tom Brady,12.0,14.0,13.5
12,13.0,108.0,Kyler Murray,14.0,11.0,13.7
13,14.0,106.0,Lamar Jackson,15.0,13.0,14.2
14,15.0,103.0,Jameis Winston,18.0,16.0,14.5
15,16.0,116.0,Philip Rivers,17.0,18.0,15.7
16,17.0,122.0,Dak Prescott,9.0,17.0,16.3
17,18.0,134.0,Kirk Cousins,19.0,24.0,18.8
18,19.0,141.0,Mitch Trubisky,16.0,23.0,19.2
19,20.0,150.0,Jimmy Garoppolo,21.0,26.0,20.5
20,21.0,154.0,Josh Allen,22.0,27.0,21.5
21,22.0,182.0,Derek Carr,20.0,20.0,22.0
22,23.0,166.0,Matthew Stafford,24.0,21.0,23.0
23,24.0,195.0,Nick Foles,26.0,19.0,26.0
24,25.0,186.0,Sam Darnold,23.0,25.0,24.6
25,26.0,243.0,Jacoby Brissett,25.0,22.0,26.0
26,27.0,229.0,Marcus Mariota,28.0,,26.8
27,28.0,273.0,Joe Flacco,29.0,,28.5
28,29.0,251.0,Andy Dalton,36.0,,30.5
29,30.0,317.0,Eli Manning,30.0,,30.8
30,31.0,282.0,Dwayne Haskins,125.0,,54.3
31,32.0,320.0,Daniel Jones,35.0,,34.5
32,33.0,323.0,Ryan Fitzpatrick,123.0,,55.5
33,34.0,324.0,Josh Rosen,128.0,,64.0
34,35.0,338.0,Case Keenum,127.0,,64.7
35,36.0,,Jay Cutler,31.0,,31.0
36,37.0,,Nathan Peterman,32.0,,32.0
37,38.0,,Taysom Hill,33.0,,33.0
38,39.0,,Sam Bradford,34.0,,34.0
39,40.0,359.0,Drew Lock,122.0,,78.5
40,41.0,367.0,Blake Bortles,43.0,,39.5
41,42.0,371.0,Ryan Tannehill,124.0,,80.5
42,43.0,,Matt Barkley,38.0,,38.0
43,44.0,,Tyree Jackson,39.0,,39.0
44,45.0,372.0,C.J. Beathard,69.0,,54.0
45,46.0,,Nick Fitzgerald,40.0,,40.0
46,47.0,385.0,Garrett Gilbert,86.0,,63.0
47,48.0,,Carson Palmer,41.0,,41.0
48,49.0,387.0,Mason Rudolph,92.0,,66.5
49,50.0,,Kellen Clemens,42.0,,42.0
50,51.0,,Robert Griffin III,44.0,,44.0
51,52.0,,Trace McSorley,45.0,,45.0
52,53.0,,Matt Cassel,46.0,,46.0
53,54.0,,Teddy Bridgewater,47.0,,47.0
54,55.0,,Geno Smith,49.0,,49.0
55,56.0,,Joshua Dobbs,50.0,,50.0
56,57.0,,Tom Savage,51.0,,51.0
57,58.0,,Matt Moore,52.0,,52.0
58,59.0,,DeShone Kizer,53.0,,53.0
59,60.0,,Chad Kelly,54.0,,54.0
60,61.0,,Ryan Mallett,55.0,,55.0
