,QB,Overall,Player,ESPN,Yahoo,AVG
0,1.0,14.0,Patrick Mahomes II,,1.0,1.2
1,2.0,17.0,Lamar Jackson,,2.0,1.8
2,3.0,47.0,Dak Prescott,,4.0,3.6
3,4.0,53.0,Russell Wilson,,3.0,4.2
4,5.0,50.0,Deshaun Watson,,6.0,4.8
5,6.0,59.0,Kyler Murray,,5.0,5.4
6,7.0,71.0,Drew Brees,,9.0,8.2
7,8.0,81.0,Tom Brady,,10.0,9.0
8,9.0,75.0,Matt Ryan,,7.0,9.0
9,10.0,82.0,Josh Allen,,8.0,9.2
10,11.0,76.0,Aaron Rodgers,,12.0,11.0
11,12.0,94.0,Carson Wentz,,11.0,11.6
12,13.0,99.0,Matthew Stafford,,13.0,13.2
13,14.0,149.0,Cam Newton,,14.0,14.8
14,15.0,111.0,Daniel Jones,,19.0,15.6
15,16.0,117.0,Ben Roethlisberger,,15.0,15.8
16,17.0,122.0,Baker Mayfield,,22.0,17.8
17,18.0,125.0,Jared Goff,,21.0,18.0
18,19.0,143.0,Joe Burrow,,16.0,18.6
19,20.0,132.0,Ryan Tannehill,,27.0,19.8
20,21.0,168.0,Jimmy Garoppolo,,18.0,20.6
21,22.0,155.0,Kirk Cousins,,28.0,21.8
22,23.0,160.0,Philip Rivers,,26.0,24.0
23,24.0,182.0,Drew Lock,,24.0,24.2
24,25.0,181.0,Gardner Minshew II,,25.0,24.4
25,26.0,202.0,Teddy Bridgewater,,23.0,24.6
26,27.0,226.0,Derek Carr,,17.0,24.0
27,28.0,302.0,Tua Tagovailoa,,20.0,28.7
28,29.0,201.0,Sam Darnold,,,26.5
29,30.0,255.0,Tyrod Taylor,,,29.0
30,31.0,270.0,Dwayne Haskins,,,30.0
31,32.0,250.0,Ryan Fitzpatrick,,,30.5
32,33.0,306.0,Mitch Trubisky,,,33.0
33,34.0,295.0,Nick Foles,,,33.5
34,35.0,287.0,Jarrett Stidham,,,32.0
35,36.0,,Justin Herbert,,,35.0
36,37.0,,Jameis Winston,,,36.0
37,38.0,,Taysom Hill,,,37.0
38,,,,,,
39,,,,,,
