,Rank,Player,POS,AVG
0,1.0,Antonio Brown,WR1,1.0
1,2.0,Odell Beckham Jr.,WR2,2.7
2,3.0,Todd Gurley,RB1,3.5
3,4.0,Julio Jones,WR3,4.3
4,5.0,David Johnson,RB2,4.5
5,6.0,Adrian Peterson,RB3,6.3
6,7.0,Ezekiel Elliott,RB4,6.8
7,8.0,DeAndre Hopkins,WR4,8.2
8,9.0,Rob Gronkowski,TE1,10.2
9,10.0,A.J. Green,WR5,10.5
10,11.0,Le'Veon Bell,RB5,11.2
11,12.0,Lamar Miller,RB6,12.0
12,13.0,Devonta Freeman,RB7,13.2
13,14.0,Dez Bryant,WR6,15.0
14,15.0,Allen Robinson,WR7,15.0
15,16.0,Jordy Nelson,WR8,16.7
16,17.0,Cam Newton,QB1,18.8
17,18.0,Brandon Marshall,WR9,20.5
18,19.0,Mike Evans,WR10,21.2
19,20.0,Eddie Lacy,RB8,21.7
20,21.0,Mark Ingram,RB9,22.2
21,22.0,Jamaal Charles,RB10,22.5
22,23.0,LeSean McCoy,RB11,23.2
23,24.0,Doug Martin,RB12,23.5
24,25.0,Aaron Rodgers,QB2,24.5
25,26.0,Keenan Allen,WR11,25.2
26,27.0,Amari Cooper,WR12,25.2
27,28.0,Alshon Jeffery,WR13,25.8
28,29.0,Brandin Cooks,WR14,29.8
29,30.0,Sammy Watkins,WR15,30.3
30,31.0,C.J. Anderson,RB13,31.3
31,32.0,Demaryius Thomas,WR16,33.2
32,33.0,T.Y. Hilton,WR17,33.8
33,34.0,Russell Wilson,QB3,35.5
34,35.0,Carlos Hyde,RB14,38.0
35,36.0,Thomas Rawls,RB15,38.8
36,37.0,Jordan Reed,TE2,39.5
37,38.0,Matt Forte,RB16,40.0
38,39.0,Latavius Murray,RB17,41.5
39,40.0,Jarvis Landry,WR18,43.2
40,41.0,Randall Cobb,WR19,43.7
41,42.0,Greg Olsen,TE3,43.8
42,43.0,Andrew Luck,QB4,44.2
43,44.0,DeMarco Murray,RB18,44.7
44,45.0,Julian Edelman,WR20,44.7
45,46.0,Doug Baldwin,WR21,45.2
46,47.0,Drew Brees,QB5,47.3
47,48.0,Jonathan Stewart,RB19,49.7
48,49.0,Eric Decker,WR22,50.0
49,50.0,Kelvin Benjamin,WR23,50.3
50,51.0,Jeremy Hill,RB20,50.7
51,52.0,Jeremy Maclin,WR24,51.5
52,53.0,Ben Roethlisberger,QB6,53.3
53,54.0,Golden Tate,WR25,55.2
54,55.0,Donte Moncrief,WR26,58.3
55,56.0,Travis Kelce,TE4,58.5
56,57.0,Ryan Mathews,RB21,59.8
57,58.0,Michael Floyd,WR27,60.8
58,59.0,Delanie Walker,TE5,61.5
59,60.0,Melvin Gordon,RB22,61.7
60,61.0,Jeremy Langford,RB23,62.2
61,62.0,Carson Palmer,QB7,62.3
62,63.0,Tom Brady,QB8,62.5
63,64.0,Larry Fitzgerald,WR28,63.0
64,65.0,Emmanuel Sanders,WR29,68.7
65,66.0,Matt Jones,RB24,72.8
66,67.0,Arian Foster,RB25,73.5
67,68.0,Frank Gore,RB26,75.0
68,69.0,Eli Manning,QB9,75.8
69,70.0,Coby Fleener,TE6,76.8
70,71.0,John Brown,WR30,78.2
71,72.0,Jordan Matthews,WR31,79.0
72,73.0,Giovani Bernard,RB27,79.2
73,74.0,Allen Hurns,WR32,80.0
74,75.0,DeSean Jackson,WR33,82.0
75,76.0,Gary Barnidge,TE7,82.3
76,77.0,Blake Bortles,QB10,82.7
77,78.0,Ameer Abdullah,RB28,83.2
78,79.0,Danny Woodhead,RB29,83.7
79,80.0,Denver Broncos,DST1,84.5
80,81.0,Michael Crabtree,WR34,86.7
