,QB,Overall,Player,ESPN,Yahoo,AVG
0,1.0,24.0,Aaron Rodgers,1.0,1.0,1.0
1,2.0,36.0,Deshaun Watson,4.0,3.0,2.5
2,3.0,44.0,Tom Brady,2.0,2.0,2.7
3,4.0,48.0,Russell Wilson,5.0,4.0,3.8
4,5.0,56.0,Cam Newton ,3.0,5.0,5.2
5,6.0,60.0,Drew Brees,6.0,6.0,5.8
6,7.0,70.0,Carson Wentz,7.0,9.0,7.5
7,8.0,78.0,Kirk Cousins,10.0,7.0,8.5
8,9.0,83.0,Andrew Luck,9.0,15.0,9.8
9,10.0,91.0,Matthew Stafford,12.0,8.0,10.2
10,11.0,93.0,Ben Roethlisberger,8.0,11.0,10.7
11,12.0,94.0,Jimmy Garoppolo,13.0,10.0,11.7
12,13.0,100.0,Matt Ryan,11.0,13.0,12.8
13,14.0,101.0,Philip Rivers,17.0,12.0,13.5
14,15.0,107.0,Jared Goff,18.0,14.0,14.7
15,16.0,110.0,Patrick Mahomes II,19.0,16.0,16.2
16,17.0,136.0,Dak Prescott,14.0,21.0,18.2
17,18.0,127.0,Alex Smith ,16.0,27.0,18.2
18,19.0,135.0,Derek Carr,15.0,23.0,18.7
19,20.0,137.0,Marcus Mariota,20.0,17.0,18.7
20,21.0,152.0,Jameis Winston,,28.0,22.5
21,22.0,160.0,Eli Manning,,22.0,23.0
22,23.0,176.0,Mitch Trubisky,22.0,25.0,24.5
23,24.0,180.0,Case Keenum,,24.0,25.3
24,25.0,236.0,Baker Mayfield,,18.0,24.8
25,26.0,201.0,Blake Bortles,,29.0,25.0
26,27.0,213.0,Tyrod Taylor,21.0,20.0,25.2
27,28.0,179.0,Andy Dalton,,26.0,26.0
28,29.0,245.0,Sam Darnold,,19.0,27.8
29,30.0,252.0,Lamar Jackson,,,30.8
30,31.0,242.0,Sam Bradford,,,30.0
31,32.0,249.0,Ryan Tannehill,,,30.3
32,33.0,248.0,Joe Flacco,,,31.3
33,34.0,266.0,Nick Foles,,,33.7
34,35.0,261.0,Josh Allen,,,33.7
35,36.0,274.0,Josh Rosen,,,36.0
36,37.0,287.0,Ryan Fitzpatrick,,,34.5
37,38.0,311.0,AJ McCarron,,,38.5
38,39.0,309.0,Josh McCown,,,39.0
39,40.0,343.0,Nathan Peterman,,,39.0
40,41.0,373.0,Teddy Bridgewater,,,41.0
41,42.0,393.0,Johnny Manziel,,,40.0
42,43.0,407.0,Tim Tebow,,,42.0
43,44.0,417.0,Jacoby Brissett,,,42.0
44,45.0,412.0,Kyle Lauletta,,,43.0
45,46.0,413.0,Mason Rudolph,,,44.0
46,,,,,,
47,,,,,,
