,K,Overall,Player,ESPN,Yahoo,AVG
0,1.0,118.0,Greg Zuerlein,1.0,1.0,1.0
1,2.0,124.0,Justin Tucker,2.0,2.0,2.0
2,3.0,138.0,Harrison Butker,4.0,3.0,3.3
3,4.0,143.0,Stephen Gostkowski ,5.0,4.0,4.3
4,5.0,171.0,Wil Lutz,3.0,5.0,4.7
5,6.0,160.0,Ka'imi Fairbairn,6.0,6.0,6.2
6,7.0,167.0,Robbie Gould,7.0,7.0,7.2
7,8.0,178.0,Jake Elliott,10.0,19.0,9.8
8,9.0,203.0,Mason Crosby,12.0,8.0,10.7
9,10.0,181.0,Michael Badgley,9.0,15.0,10.8
10,11.0,206.0,Matt Prater,13.0,11.0,13.0
11,12.0,214.0,Adam Vinatieri ,14.0,9.0,13.3
12,13.0,218.0,Brett Maher,11.0,16.0,13.8
13,14.0,216.0,Matt Bryant,8.0,13.0,16.2
14,15.0,217.0,Jason Myers,26.0,14.0,16.3
15,16.0,228.0,Chris Boswell,24.0,12.0,18.5
16,17.0,257.0,Aldrick Rosas,17.0,18.0,18.4
17,18.0,296.0,Brandon McManus,15.0,10.0,18.6
18,19.0,304.0,Stephen Hauschka,22.0,,20.6
19,20.0,234.0,Giorgio Tavecchio,56.0,21.0,25.2
20,21.0,226.0,Austin Seibert,53.0,,23.8
21,22.0,268.0,Dan Bailey,52.0,20.0,25.6
22,23.0,275.0,Ryan Succop,57.0,,27.8
23,24.0,295.0,Eddy Pineiro,18.0,,19.0
24,25.0,315.0,Josh Lambo,30.0,,26.8
25,26.0,326.0,Dustin Hopkins,16.0,,21.5
26,27.0,319.0,Joey Slye,21.0,,25.7
27,28.0,270.0,Matt Gay,55.0,,33.0
28,29.0,375.0,Jason Sanders,27.0,,26.0
29,30.0,,Nick Novak,20.0,,20.0
30,31.0,,Taylor Bertolet,23.0,,23.0
31,32.0,327.0,Randy Bullock,51.0,,37.5
32,33.0,,Cody Parkey,25.0,,25.0
33,34.0,,Younghoe Koo,28.0,,28.0
34,35.0,,Zane Gonzalez,29.0,,29.0
35,36.0,305.0,Daniel Carlson,54.0,,42.0
36,37.0,,Mike Nugent,31.0,,31.0
37,38.0,380.0,Greg Joseph,39.0,,35.0
38,39.0,,Kaare Vedvik,33.0,,33.0
39,40.0,,Blair Walsh,34.0,,34.0
40,41.0,,Nick Folk,35.0,,35.0
41,42.0,,Connor Barth,36.0,,36.0
42,43.0,,Sam Ficken,37.0,,37.0
43,44.0,,Roberto Aguayo,40.0,,40.0
44,45.0,,Nick Rose,41.0,,41.0
45,46.0,,Kai Forbath,42.0,,42.0
46,47.0,,Travis Coons,43.0,,43.0
47,48.0,,Patrick Murray,44.0,,44.0
48,49.0,,Caleb Sturgis,45.0,,45.0
49,50.0,,Matt McCrane,46.0,,46.0
50,51.0,,Cairo Santos,47.0,,47.0
51,52.0,,Andrew Franks,48.0,,48.0
52,53.0,,Chandler Catanzaro,49.0,,49.0
53,54.0,,Chris Blewitt,50.0,,50.0
54,,,,,,
55,,,,,,
