,K,Overall,Player,ESPN,Yahoo,AVG
0,1.0,94.0,Stephen Gostkowski,1.0,1.0,1.0
1,2.0,115.0,Stephen Hauschka,2.0,7.0,3.0
2,3.0,135.0,Graham Gano,8.0,2.0,4.5
3,4.0,134.0,Justin Tucker,5.0,8.0,5.5
4,5.0,145.0,Mason Crosby,7.0,16.0,6.7
5,6.0,148.0,Dan Bailey,4.0,19.0,7.2
6,7.0,158.0,Chandler Catanzaro,14.0,22.0,7.5
7,8.0,149.0,Chris Boswell,12.0,6.0,8.2
8,9.0,169.0,Brandon McManus,10.0,14.0,9.5
9,10.0,171.0,Blair Walsh,9.0,4.0,10.2
10,11.0,168.0,Adam Vinatieri,3.0,11.0,10.2
11,12.0,176.0,Cairo Santos,13.0,23.0,11.0
12,13.0,172.0,Sebastian Janikowski,6.0,10.0,11.7
13,14.0,236.0,Roberto Aguayo,11.0,18.0,16.8
14,15.0,226.0,Matt Prater,15.0,15.0,17.0
15,16.0,235.0,Mike Nugent,,13.0,15.8
16,17.0,230.0,Josh Brown,,21.0,16.0
17,18.0,219.0,Matt Bryant,,17.0,18.2
18,19.0,234.0,Dustin Hopkins,,,18.6
19,20.0,246.0,Robbie Gould,,24.0,18.6
20,21.0,247.0,Connor Barth,,3.0,9.0
21,22.0,242.0,Nick Novak,,12.0,20.0
22,23.0,285.0,Josh Lambo,,20.0,20.6
23,24.0,276.0,Shayne Graham,,5.0,5.0
24,25.0,263.0,Nick Folk,,9.0,21.0
25,26.0,272.0,Dan Carpenter,,,21.5
26,27.0,323.0,Wil Lutz,,,14.0
27,28.0,374.0,Caleb Sturgis,,,26.5
28,29.0,307.0,Jason Myers,,,24.0
29,30.0,335.0,Phil Dawson,,,24.5
30,31.0,,Randy Bullock,,25.0,25.0
31,32.0,356.0,Greg Zuerlein,,,27.0
32,33.0,400.0,Ryan Succop,,,28.0
33,34.0,404.0,Cody Parkey,,,30.0
34,35.0,427.0,Andrew Franks,,,31.0
35,36.0,394.0,Travis Coons,,,33.0
36,37.0,457.0,Kai Forbath,,,34.0
37,38.0,471.0,Rob Bironas,,,35.0
38,,,,,,
39,,,,,,
