,K,Overall,Player,ESPN,Yahoo,AVG
0,1.0,100.0,Stephen Gostkowski,1.0,,1.3
1,2.0,105.0,Justin Tucker,2.0,,1.8
2,3.0,108.0,Matt Bryant,3.0,,2.8
3,4.0,124.0,Dan Bailey,5.0,,4.3
4,5.0,138.0,Mason Crosby,6.0,,5.8
5,6.0,158.0,Adam Vinatieri,4.0,,8.3
6,7.0,154.0,Wil Lutz,16.0,,9.3
7,8.0,167.0,Sebastian Janikowski,8.0,,9.7
8,9.0,163.0,Cairo Santos,14.0,,10.2
9,10.0,180.0,Matt Prater,7.0,,11.0
10,11.0,172.0,Chris Boswell,12.0,,11.8
11,12.0,157.0,Graham Gano,,,9.6
12,13.0,185.0,Dustin Hopkins,11.0,,13.0
13,14.0,201.0,Blair Walsh,10.0,,13.2
14,15.0,195.0,Brandon McManus,,,14.8
15,16.0,197.0,Stephen Hauschka,,,13.0
16,17.0,220.0,Caleb Sturgis,15.0,,16.0
17,18.0,224.0,Chandler Catanzaro,,,15.7
18,19.0,253.0,Phil Dawson,,,18.7
19,20.0,254.0,Josh Lambo,,,19.0
20,21.0,248.0,Nick Novak,,,19.3
21,22.0,,Harrison Butker,9.0,,9.0
22,23.0,258.0,Kai Forbath,,,21.3
23,24.0,,Younghoe Koo,13.0,,13.0
24,25.0,274.0,Nick Folk,,,23.3
25,26.0,339.0,Ryan Succop,,,22.5
26,27.0,301.0,Aldrick Rosas,,,20.0
27,28.0,332.0,Zane Gonzalez,,,21.0
28,29.0,311.0,Mike Nugent,,,22.0
29,30.0,324.0,Roberto Aguayo,,,25.0
30,31.0,325.0,Robbie Gould,,,26.0
31,32.0,342.0,Greg Zuerlein,,,27.0
32,33.0,381.0,Cody Parkey,,,29.0
33,34.0,383.0,Andrew Franks,,,30.0
34,35.0,389.0,Connor Barth,,,32.0
35,36.0,398.0,Randy Bullock,,,33.0
36,37.0,343.0,Jason Myers,,,34.0
37,38.0,404.0,Devon Bell,,,35.0
38,,,,,,
39,,,,,,
