,TE,Overall,Player,AVG
0,1.0,20.0,Rob Gronkowski,1.0
1,2.0,36.0,Travis Kelce,2.0
2,3.0,47.0,Greg Olsen,3.2
3,4.0,51.0,Jordan Reed,4.0
4,5.0,53.0,Jimmy Graham,4.8
5,6.0,68.0,Tyler Eifert,6.8
6,7.0,82.0,Martellus Bennett,7.8
7,8.0,78.0,Delanie Walker,8.0
8,9.0,76.0,Kyle Rudolph,8.0
9,10.0,89.0,Zach Ertz,9.6
10,11.0,106.0,Hunter Henry,11.8
11,12.0,122.0,Jack Doyle,12.8
12,13.0,125.0,Eric Ebron,12.8
13,14.0,142.0,Jason Witten,14.6
14,15.0,148.0,O.J. Howard,15.8
15,16.0,155.0,Coby Fleener,17.4
16,17.0,161.0,Cameron Brate,18.4
17,18.0,164.0,Austin Hooper,16.3
18,19.0,170.0,Julius Thomas,19.8
19,20.0,173.0,Antonio Gates,20.6
20,21.0,181.0,Evan Engram,21.6
21,22.0,199.0,Jared Cook,20.3
22,23.0,206.0,Benjamin Watson,18.0
23,24.0,217.0,Jesse James,22.7
24,25.0,219.0,C.J. Fiedorowicz,26.0
25,26.0,230.0,Vance McDonald,25.3
26,27.0,234.0,David Njoku,25.7
27,28.0,247.0,Gerald Everett,23.5
28,29.0,236.0,Charles Clay,27.7
29,30.0,256.0,Dwayne Allen,28.3
30,31.0,283.0,Austin Seferian-Jenkins,29.5
31,32.0,269.0,Zach Miller,32.5
32,33.0,307.0,Jermaine Gresham,29.0
33,34.0,314.0,Tyler Higbee,32.0
34,35.0,322.0,George Kittle,33.0
35,36.0,336.0,Ladarius Green,35.0
36,37.0,337.0,Erik Swoope,36.0
37,38.0,349.0,Dennis Pitta,38.0
38,39.0,366.0,Vernon Davis,39.0
39,40.0,371.0,Seth DeValve,40.0
40,41.0,376.0,Adam Shaheen,41.0
41,42.0,385.0,Jerell Adams,42.0
42,43.0,388.0,Maxx Williams,43.0
43,44.0,391.0,Jake Butt,44.0
44,45.0,395.0,Jacob Hollister,45.0
45,46.0,396.0,Lance Kendricks,46.0
46,,,,
47,,,,
