,TE,Overall,Player,AVG
0,1.0,9.0,Rob Gronkowski,1.0
1,2.0,37.0,Jordan Reed,2.0
2,3.0,42.0,Greg Olsen,3.0
3,4.0,56.0,Travis Kelce,4.3
4,5.0,59.0,Delanie Walker,5.2
5,6.0,70.0,Coby Fleener,7.0
6,7.0,76.0,Gary Barnidge,8.0
7,8.0,93.0,Zach Ertz,9.0
8,9.0,92.0,Antonio Gates,9.0
9,10.0,90.0,Tyler Eifert ,9.5
10,11.0,100.0,Julius Thomas,10.2
11,12.0,107.0,Jimmy Graham,11.7
12,13.0,120.0,Martellus Bennett,12.7
13,14.0,128.0,Jason Witten,13.8
14,15.0,147.0,Dwayne Allen,17.2
15,16.0,156.0,Jared Cook,17.7
16,17.0,162.0,Zach Miller,18.3
17,18.0,182.0,Eric Ebron,19.3
18,19.0,184.0,Kyle Rudolph,20.7
19,20.0,174.0,Ladarius Green,16.0
20,21.0,220.0,Charles Clay,24.5
21,22.0,205.0,Austin Seferian-Jenkins,20.8
22,23.0,209.0,Richard Rodgers,22.8
23,24.0,215.0,Virgil Green,23.4
24,25.0,214.0,Clive Walford,24.6
25,26.0,233.0,Benjamin Watson,24.0
26,27.0,239.0,Jordan Cameron,24.8
27,28.0,265.0,Jesse James,27.3
28,29.0,299.0,Vance McDonald,30.5
29,30.0,240.0,Hunter Henry,24.7
30,31.0,275.0,Cameron Brate,27.0
31,32.0,270.0,Jacob Tamme,27.3
32,33.0,303.0,Jace Amaro,32.0
33,34.0,297.0,Jack Doyle,33.0
34,35.0,305.0,O.J. Howard,15.0
35,36.0,329.0,Austin Hooper,33.0
36,37.0,310.0,C.J. Fiedorowicz,34.0
37,38.0,370.0,Dennis Pitta,34.5
38,39.0,331.0,Will Tye,34.5
39,40.0,317.0,Luke Willson,35.0
40,41.0,326.0,Jerell Adams,35.5
41,42.0,327.0,David Njoku,22.0
42,43.0,396.0,Brent Celek,37.5
43,44.0,350.0,Vernon Davis,38.5
44,45.0,354.0,Evan Engram,27.0
45,46.0,426.0,Anthony Fasano,39.5
46,47.0,388.0,Larry Donnell,40.0
47,48.0,353.0,Tyler Higbee,31.0
48,49.0,384.0,Lance Kendricks,41.0
49,50.0,444.0,Crockett Gillmore,43.0
50,51.0,428.0,Jeff Heuerman,39.0
51,52.0,466.0,A.J. Derby,47.0
52,53.0,469.0,Blake Bell,49.0
53,54.0,468.0,Marcedes Lewis,49.5
54,55.0,461.0,Ryan Griffin,47.5
55,56.0,456.0,Dion Sims,46.0
56,57.0,,Brandon Pettigrew,47.0
57,58.0,458.0,Darren Fells,48.0
58,59.0,474.0,Ed Dickson,54.5
59,60.0,460.0,Garrett Celek,49.0
60,61.0,,Ryan Hewitt,49.0
61,62.0,473.0,Josh Hill,55.0
62,63.0,462.0,MyCole Pruitt,52.0
63,64.0,465.0,Mychal Rivera,54.0
64,65.0,467.0,Jermaine Gresham,56.0
65,66.0,472.0,Maxx Williams,59.0
66,,,,
67,,,,
