,RB,Overall,Player,AVG
0,1.0,1.0,Saquon Barkley,1.0
1,2.0,2.0,Christian McCaffrey,2.5
2,3.0,3.0,Alvin Kamara,2.5
3,4.0,4.0,Ezekiel Elliott,4.0
4,5.0,6.0,James Conner,5.5
5,6.0,7.0,Le'Veon Bell,6.3
6,7.0,9.0,David Johnson,7.3
7,8.0,10.0,Nick Chubb,8.0
8,9.0,11.0,Todd Gurley II,8.5
9,10.0,15.0,Dalvin Cook,10.0
10,11.0,19.0,Joe Mixon,10.5
11,12.0,21.0,Leonard Fournette,12.0
12,13.0,25.0,Damien Williams,13.8
13,14.0,27.0,Kerryon Johnson,14.8
14,15.0,28.0,Aaron Jones,15.0
15,16.0,30.0,Chris Carson ,16.8
16,17.0,32.0,Josh Jacobs,17.5
17,18.0,33.0,Devonta Freeman,17.8
18,19.0,36.0,Derrick Henry,18.8
19,20.0,39.0,Marlon Mack,20.5
20,21.0,38.0,David Montgomery,20.5
21,22.0,41.0,Mark Ingram II,21.8
22,23.0,44.0,Sony Michel,22.8
23,24.0,48.0,Melvin Gordon III,23.8
24,25.0,52.0,Phillip Lindsay,25.0
25,26.0,56.0,Tevin Coleman,26.3
26,27.0,58.0,Austin Ekeler,27.5
27,28.0,64.0,James White,29.0
28,29.0,68.0,Miles Sanders,30.5
29,30.0,74.0,Kenyan Drake,31.3
30,31.0,70.0,Duke Johnson Jr.,31.3
31,32.0,73.0,Derrius Guice ,31.5
32,33.0,76.0,Tarik Cohen,31.8
33,34.0,83.0,Latavius Murray,34.5
34,35.0,87.0,Jordan Howard,36.8
35,36.0,94.0,LeSean McCoy,38.3
36,37.0,97.0,Matt Breida,38.5
37,38.0,100.0,Rashaad Penny,39.0
38,39.0,99.0,Devin Singletary,39.5
39,40.0,102.0,Darrell Henderson Jr.,40.0
40,41.0,107.0,Peyton Barber,42.3
41,42.0,112.0,Royce Freeman,42.8
42,43.0,110.0,Kareem Hunt,42.8
43,44.0,114.0,Tony Pollard,43.0
44,45.0,121.0,Darwin Thompson,45.3
45,46.0,123.0,Adrian Peterson,45.8
46,47.0,128.0,Justin Jackson,47.0
47,48.0,130.0,Kalen Ballage ,47.3
48,49.0,131.0,Dion Lewis,48.0
49,50.0,137.0,Jaylen Samuels,49.0
50,51.0,148.0,Justice Hill,52.3
51,52.0,149.0,Ronald Jones II,52.5
52,53.0,151.0,Carlos Hyde,52.5
53,54.0,153.0,Alexander Mattison,54.3
54,55.0,159.0,Damien Harris,54.8
55,56.0,164.0,Ito Smith ,56.5
56,57.0,183.0,Nyheim Hines,56.7
57,58.0,189.0,C.J. Anderson,59.0
58,59.0,190.0,Chris Thompson,59.7
59,60.0,193.0,Jamaal Williams,61.3
60,61.0,196.0,Jalen Richard,62.7
61,62.0,199.0,Dare Ogunbowale,64.0
62,63.0,198.0,Malcolm Brown,64.7
63,64.0,209.0,Ty Montgomery,65.7
64,65.0,212.0,Frank Gore,66.7
65,66.0,225.0,Giovani Bernard,63.5
66,67.0,231.0,Gus Edwards,65.0
67,68.0,235.0,Mike Davis,67.5
68,69.0,239.0,Chase Edmonds,68.0
69,70.0,244.0,Darrel Williams,60.0
70,71.0,250.0,Trayveon Williams,61.0
71,72.0,245.0,T.J. Yeldon,70.5
72,73.0,255.0,Ryquell Armstead,71.5
73,74.0,263.0,Dontrell Hilliard,73.5
74,75.0,289.0,Damarea Crockett,72.0
75,76.0,280.0,Alfred Morris,73.0
76,77.0,281.0,Brian Hill,74.0
77,78.0,301.0,Wayne Gallman Jr.,85.0
78,79.0,283.0,Qadree Ollison,75.0
79,80.0,288.0,Dexter Williams,77.0
80,81.0,318.0,Alfred Blue,82.0
81,82.0,312.0,Rex Burkhead,81.5
82,83.0,297.0,Myles Gaskin,79.0
83,84.0,303.0,Jay Ajayi,80.0
84,85.0,306.0,Bruce Anderson III,81.0
85,86.0,309.0,Theo Riddick,82.0
86,87.0,316.0,Benny Snell Jr.,83.0
87,88.0,321.0,Doug Martin,84.0
88,89.0,328.0,Corey Clement,86.0
89,90.0,329.0,Alex Collins,88.0
90,91.0,332.0,Devontae Booker,89.0
91,92.0,335.0,,91.0
92,93.0,340.0,Zach Zenner,92.0
93,94.0,342.0,Spencer Ware,93.0
94,95.0,345.0,Bilal Powell,94.0
95,96.0,347.0,Cameron Artis-Payne,95.0
96,97.0,352.0,Wendell Smallwood,97.0
97,98.0,353.0,Kyle Juszczyk,98.0
98,99.0,363.0,Jordan Wilkins,99.0
99,100.0,365.0,Kapri Bibbs,100.0
100,101.0,366.0,James Develin ,101.0
101,102.0,373.0,Chris Ivory,102.0
102,103.0,379.0,Ty Johnson,103.0
103,104.0,383.0,Darren Sproles ,104.0
104,105.0,388.0,C.J. Prosise ,105.0
105,106.0,389.0,De'Angelo Henderson Sr.,106.0
106,107.0,394.0,Mark Walton,107.0
107,108.0,398.0,Andre Ellington,108.0
108,109.0,402.0,Bryce Love,111.0
109,110.0,403.0,D'Onta Foreman,112.0
110,,,,
111,,,,
