,RB,Overall,Player,AVG
0,1.0,1.0,Todd Gurley II,1.2
1,2.0,2.0,Le'Veon Bell ,2.0
2,3.0,3.0,David Johnson,3.3
3,4.0,4.0,Ezekiel Elliott,3.5
4,5.0,7.0,Alvin Kamara,5.5
5,6.0,6.0,Saquon Barkley,5.5
6,7.0,8.0,Leonard Fournette,7.7
7,8.0,9.0,Kareem Hunt,7.8
8,9.0,11.0,Melvin Gordon III,8.5
9,10.0,13.0,Dalvin Cook,10.3
10,11.0,15.0,Christian McCaffrey,11.3
11,12.0,17.0,Devonta Freeman,12.2
12,13.0,20.0,Jordan Howard,13.0
13,14.0,26.0,LeSean McCoy,14.2
14,15.0,23.0,Joe Mixon,14.7
15,16.0,31.0,Alex Collins ,17.5
16,17.0,33.0,Kenyan Drake,18.0
17,18.0,35.0,Derrick Henry,18.5
18,19.0,37.0,Jay Ajayi ,19.7
19,20.0,40.0,Royce Freeman,20.3
20,21.0,45.0,Lamar Miller,21.0
21,22.0,51.0,Mark Ingram II,23.2
22,23.0,57.0,Marshawn Lynch ,25.3
23,24.0,61.0,Dion Lewis,27.7
24,25.0,58.0,Carlos Hyde,27.8
25,26.0,63.0,Tevin Coleman,28.7
26,27.0,62.0,Kerryon Johnson ,28.8
27,28.0,67.0,Jamaal Williams,30.0
28,29.0,72.0,Sony Michel,30.5
29,30.0,69.0,Rex Burkhead,30.5
30,31.0,79.0,Rashaad Penny,30.8
31,32.0,92.0,Chris Thompson,34.8
32,33.0,82.0,Chris Carson,34.8
33,34.0,89.0,Isaiah Crowell ,34.8
34,35.0,90.0,Tarik Cohen,35.3
35,36.0,96.0,Marlon Mack,35.5
36,37.0,99.0,Ronald Jones II,36.5
37,38.0,97.0,Peyton Barber,39.3
38,39.0,106.0,Duke Johnson Jr.,39.7
39,40.0,102.0,Adrian Peterson,41.2
40,41.0,112.0,Nick Chubb,43.0
41,42.0,114.0,C.J. Anderson,43.7
42,43.0,111.0,Aaron Jones,44.0
43,44.0,117.0,James White,44.7
44,45.0,124.0,Devontae Booker,47.2
45,46.0,133.0,Ty Montgomery,48.8
46,47.0,130.0,Latavius Murray,49.0
47,48.0,139.0,Bilal Powell ,50.3
48,49.0,125.0,Matt Breida,50.5
49,50.0,132.0,Corey Clement,50.5
50,51.0,144.0,Giovani Bernard,50.8
51,52.0,141.0,LeGarrette Blount,51.2
52,53.0,122.0,Alfred Morris,52.3
53,54.0,156.0,Doug Martin,56.7
54,55.0,168.0,D'Onta Foreman,58.5
55,56.0,164.0,Austin Ekeler,58.7
56,57.0,153.0,James Conner,60.0
57,58.0,183.0,Frank Gore ,62.0
58,59.0,187.0,Theo Riddick,53.8
59,60.0,181.0,Spencer Ware,64.3
60,61.0,149.0,Jordan Wilkins,56.2
61,62.0,200.0,T.J. Yeldon,61.0
62,63.0,203.0,Robert Kelley,62.2
63,64.0,206.0,Nyheim Hines,64.2
64,65.0,227.0,Javorius Allen,66.0
65,66.0,230.0,Jeremy Hill ,66.3
66,67.0,246.0,Kenneth Dixon,68.5
67,68.0,234.0,Chris Ivory,69.0
68,69.0,262.0,Darren Sproles,69.5
69,70.0,225.0,John Kelly Jr.,70.5
70,71.0,267.0,Jonathan Stewart,73.8
71,72.0,256.0,Rod Smith,74.0
72,73.0,270.0,Ameer Abdullah,75.5
73,74.0,226.0,Samaje Perine,65.0
74,75.0,244.0,Kalen Ballage,72.0
75,76.0,251.0,Chase Edmonds,72.0
76,77.0,268.0,Wayne Gallman Jr.,78.0
77,78.0,281.0,Malcolm Brown,75.5
78,79.0,298.0,C.J. Prosise ,81.0
79,80.0,305.0,Corey Grant ,83.5
80,81.0,313.0,Mike Gillislee,85.5
81,82.0,289.0,Tavon Austin,63.0
82,83.0,312.0,Elijah McGuire,86.0
83,84.0,325.0,Christine Michael,89.5
84,85.0,324.0,Joe Williams,90.5
85,86.0,335.0,Boston Scott,92.0
86,87.0,331.0,Jalen Richard,92.0
87,88.0,336.0,J.D. McKissic,93.5
88,89.0,337.0,Charles Sims,79.0
89,90.0,340.0,Alfred Blue,94.5
90,91.0,338.0,Chris Warren III,82.0
91,92.0,349.0,Cameron Artis-Payne,83.0
92,93.0,345.0,Jonathan Williams,83.0
93,94.0,350.0,John Conner,84.0
94,95.0,352.0,Terrance West,96.5
95,96.0,363.0,Stevan Ridley,86.0
96,97.0,364.0,Orleans Darkwa,87.0
97,98.0,297.0,Jaylen Samuels,88.0
98,99.0,356.0,Mark Walton,98.5
99,100.0,365.0,Jacquizz Rodgers,99.5
100,101.0,368.0,Wendell Smallwood,90.0
101,102.0,370.0,,90.0
102,103.0,367.0,DeAndre Washington,99.5
103,104.0,372.0,Marcus Murphy ,100.5
104,105.0,378.0,Akeem Hunt,93.0
105,106.0,375.0,Phillip Lindsay,93.0
106,107.0,265.0,Ryan Grant,94.0
107,108.0,382.0,C.J. Ham,96.0
108,109.0,388.0,Shane Vereen,100.0
109,110.0,387.0,Fitzgerald Toussaint,100.0
110,111.0,389.0,Troymaine Pope,101.0
111,112.0,391.0,De'Angelo Henderson Sr.,101.0
112,113.0,386.0,Kyle Juszczyk,105.5
113,114.0,398.0,Kerwynn Williams,103.0
114,115.0,394.0,Bo Scarbrough,103.0
115,116.0,395.0,Robert Turbin ,104.0
116,117.0,397.0,Charcandrick West,105.0
117,118.0,404.0,Akrum Wadley,105.0
118,119.0,411.0,Ito Smith ,108.5
119,120.0,399.0,Kapri Bibbs,107.0
120,121.0,403.0,Justin Jackson,108.0
121,122.0,419.0,Jeremy McNichols,112.0
122,,,,
123,,,,
