,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Vance McDonald,SFO,6,4,66.67%,38,2,12.5%,2,1,50.00%,8,1,10.5%,All Vance McDonald red zone receiving plays,McDoVa00
Lamar Miller,HOU,6,5,83.33%,39,1,9.0%,2,2,100.00%,13,1,5.7%,All Lamar Miller red zone receiving plays,MillLa01
Richard Rodgers,GNB,6,3,50.00%,23,2,5.9%,3,1,33.33%,2,1,6.1%,All Richard Rodgers red zone receiving plays,RodgRi00
Eli Rogers,PIT,6,4,66.67%,20,2,9.4%,3,2,66.67%,6,2,10.3%,All Eli Rogers red zone receiving plays,RogeEl00
Eddie Royal,CHI,6,4,66.67%,30,2,8.3%,2,1,50.00%,4,1,5.9%,All Eddie Royal red zone receiving plays,RoyaEd00
Kenny Stills,MIA,6,4,66.67%,22,1,12.0%,2,2,100.00%,13,1,9.1%,All Kenny Stills red zone receiving plays,StilKe00
Jordan Taylor,DEN,6,4,66.67%,25,2,9.5%,3,2,66.67%,4,1,8.3%,All Jordan Taylor red zone receiving plays,TaylJo01
Deonte Thompson,CHI,6,3,50.00%,17,2,8.3%,5,2,40.00%,9,2,14.7%,All Deonte Thompson red zone receiving plays,ThomDe04
Charcandrick West,KAN,6,4,66.67%,20,2,7.8%,3,2,66.67%,6,2,9.1%,All Charcandrick West red zone receiving plays,WestCh01
Jay Ajayi,MIA,5,3,60.00%,12,0,10.0%,1,0,0.00%,0,0,4.5%,All Jay Ajayi red zone receiving plays,AjayJa00
Gary Barnidge,CLE,5,3,60.00%,29,2,9.1%,2,1,50.00%,4,1,10.0%,All Gary Barnidge red zone receiving plays,BarnGa01
Daniel Brown,CHI,5,3,60.00%,22,1,6.9%,4,2,50.00%,14,1,11.8%,All Daniel Brown red zone receiving plays,BrowDa04
Garrett Celek,SFO,5,3,60.00%,29,3,10.4%,2,2,100.00%,13,2,10.5%,All Garrett Celek red zone receiving plays,CeleGa00
Sammie Coates,PIT,5,3,60.00%,10,1,7.8%,2,1,50.00%,5,1,6.9%,All Sammie Coates red zone receiving plays,CoatSa00
Rob Gronkowski,NWE,5,2,40.00%,2,1,6.9%,4,2,50.00%,2,1,10.5%,All Rob Gronkowski red zone receiving plays,GronRo00
Austin Hooper,ATL,5,3,60.00%,14,2,5.4%,3,2,66.67%,11,2,6.0%,All Austin Hooper red zone receiving plays,HoopAu00
Tyler Lockett,SEA,5,3,60.00%,16,0,7.1%,2,1,50.00%,7,0,6.5%,All Tyler Lockett red zone receiving plays,LockTy00
Jalin Marshall,NYJ,5,3,60.00%,27,2,7.1%,2,1,50.00%,6,1,6.9%,All Jalin Marshall red zone receiving plays,MarsJa01
Jerick McKinnon,MIN,5,5,100.00%,37,2,6.8%,2,2,100.00%,8,1,6.3%,All Jerick McKinnon red zone receiving plays,McKiJe00
Latavius Murray,OAK,5,3,60.00%,0,0,5.6%,2,1,50.00%,-1,0,4.4%,All Latavius Murray red zone receiving plays,MurrLa00
Brandon Myers,TAM,5,2,40.00%,11,1,7.5%,1,1,100.00%,4,1,3.7%,All Brandon Myers red zone receiving plays,MyerBr00
Jalen Richard,OAK,5,4,80.00%,30,2,5.6%,1,1,100.00%,4,1,2.2%,All Jalen Richard red zone receiving plays,RichJa01
Chester Rogers,IND,5,4,80.00%,15,0,7.4%,4,3,75.00%,12,0,10.0%,All Chester Rogers red zone receiving plays,RogeCh02
Torrey Smith,SFO,5,1,20.00%,1,1,10.4%,4,1,25.00%,1,1,21.1%,All Torrey Smith red zone receiving plays,SmitTo02
Robert Turbin,IND,5,2,40.00%,4,1,7.4%,3,2,66.67%,4,1,7.5%,All Robert Turbin red zone receiving plays,TurbRo00
C.J. Uzomah,CIN,5,2,40.00%,7,1,7.9%,4,2,50.00%,7,1,13.3%,All C.J. Uzomah red zone receiving plays,UzomC.00
Kevin White,CHI,5,1,20.00%,5,0,6.9%,1,0,0.00%,0,0,2.9%,All Kevin White red zone receiving plays,WhitKe00
Kamar Aiken,BAL,4,3,75.00%,30,1,5.6%,2,1,50.00%,5,1,7.1%,All Kamar Aiken red zone receiving plays,AikeKa00
Robbie Anderson,NYJ,4,3,75.00%,14,0,5.7%,0,0,,0,0,.0%,All Robbie Anderson red zone receiving plays,AndeRo04
Eric Decker,NYJ,4,2,50.00%,20,2,5.7%,3,1,33.33%,5,1,10.3%,All Eric Decker red zone receiving plays,DeckEr00
Shaun Draughn,SFO,4,4,100.00%,39,2,8.3%,1,1,100.00%,2,0,5.3%,All Shaun Draughn red zone receiving plays,DrauSh00
Rhett Ellison,MIN,4,2,50.00%,-2,0,5.4%,2,2,100.00%,-2,0,6.3%,All Rhett Ellison red zone receiving plays,ElliRh00
Matt Forte,NYJ,4,3,75.00%,23,1,5.7%,1,0,0.00%,0,0,3.4%,All Matt Forte red zone receiving plays,FortMa00
