Player,Rank,POS,AVG,Rk,Tmrank,FantPos,Age,G,GS,Cmprank,Attrank,Ydsrank,TDrank,Intrank,Att.1rank,Yds.1rank,Y/A,TD.1rank,Tgtrzru,Recrzru,Yds.2rzpa,Y/R,TD.2rzpa,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999rank,Tmrzpa,Cmprzpa,Attrzpa,Cmp%,Ydsrzpa,TDrzpa,Intrzpa,Cmp.1,Att.1rzpa,Cmp%.1,Yds.1rzpa,TD.1rzpa,Int.1,Linkrzpa,-9999rzpa,Tmrzru,Att,Ydsrzru,TDrzru,%Rush,Att.1,Yds.1rzru,TD.1rzru,%Rush.1,Att.2,Yds.2rzru,TD.2rzru,%Rush.2,Linkrzru,-9999rzru,Tmrzre,Tgtrzre,Recrzre,Ctch%,Ydsrzre,TDrzre,%Tgt,Tgt.1,Rec.1,Ctch%.1,Yds.1rzre,TD.1rzre,%Tgt.1,Link,-9999rzre,Difference
Michael Thomas,73.0,WR28,72.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,72.3
Kenny Golladay,74.0,WR29,76.0,222.0,NYG,WR,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,37.0,521.0,14.08,0.0,0.0,0.0,0.0,0.0,0.0,52.0,89.1,92.1,70.6,0.0,86.0,0.0,GollKe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,NYG,10.0,1.0,10.00%,5.0,0.0,17.9%,2.0,0.0,0.00%,0.0,0.0,7.1%,All Kenny Golladay red zone receiving plays,GollKe00,-146.0
Jerry Jeudy,75.0,WR30,76.5,236.0,DEN,WR,22.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,0.0,56.0,38.0,467.0,12.29,0.0,1.0,0.0,0.0,0.0,0.0,47.0,85.0,88.0,66.0,0.0,96.0,0.0,JeudJe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,DEN,3.0,2.0,66.67%,12.0,0.0,5.2%,1.0,0.0,0.00%,0.0,0.0,3.1%,All Jerry Jeudy red zone receiving plays,JeudJe00,-159.5
Ronald Jones,76.0,RB31,76.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,TAM,13.0,40.0,4.0,15.9%,9.0,26.0,4.0,15.5%,4.0,2.0,1.0,16.0%,All Ronald Jones red zone rushing plays,JoneRo01,TAM,1.0,0.0,0.00%,0.0,0.0,.8%,1.0,0.0,0.00%,0.0,0.0,1.6%,All Ronald Jones red zone receiving plays,JoneRo01,76.8
JuJu Smith-Schuster,77.0,WR31,77.8,354.0,PIT,WR,25.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,1.0,28.0,15.0,129.0,8.6,0.0,0.0,0.0,1.0,0.0,0.0,20.0,34.8,37.8,27.3,0.0,139.0,0.0,SmitJu00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,PIT,1.0,3.0,1.0,2.4%,1.0,3.0,1.0,4.3%,1.0,3.0,1.0,6.7%,All JuJu Smith-Schuster red zone rushing plays,SmitJu00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,-276.2
Trey Sermon,78.0,RB32,78.8,326.0,SFO,RB,22.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,167.0,4.07,1.0,4.0,3.0,26.0,8.67,0.0,0.0,0.0,1.0,0.0,0.0,25.0,28.3,31.3,26.8,0.0,93.0,0.0,SermTr00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,SFO,1.0,1.0,1.0,1.6%,1.0,1.0,1.0,2.6%,1.0,1.0,1.0,6.7%,All Trey Sermon red zone rushing plays,SermTr00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,-247.2
Leonard Fournette,79.0,RB33,79.8,34.0,TAM,RB,26.0,14.0,13.0,0.0,1.0,0.0,0.0,0.0,180.0,812.0,4.51,8.0,84.0,69.0,454.0,6.58,2.0,1.0,0.0,10.0,0.0,0.0,187.0,255.6,261.6,221.1,38.0,11.0,34.0,FourLe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,TAM,43.0,112.0,8.0,52.4%,27.0,61.0,8.0,46.6%,12.0,12.0,6.0,48.0%,All Leonard Fournette red zone rushing plays,FourLe00,TAM,15.0,10.0,66.67%,39.0,2.0,11.5%,5.0,3.0,60.00%,12.0,2.0,8.1%,All Leonard Fournette red zone receiving plays,FourLe00,45.8
Courtland Sutton,80.0,WR32,81.3,136.0,DEN,WR,26.0,17.0,16.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,58.0,776.0,13.38,2.0,0.0,0.0,2.0,1.0,0.0,92.0,150.2,153.2,121.2,0.0,47.0,0.0,SuttCo00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,DEN,10.0,6.0,60.00%,34.0,1.0,17.2%,5.0,2.0,40.00%,8.0,0.0,15.6%,All Courtland Sutton red zone receiving plays,SuttCo00,-54.7
Matthew Stafford,81.0,QB10,82.0,20.0,LAR,QB,33.0,17.0,17.0,404.0,601.0,4886.0,41.0,17.0,32.0,43.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,330.0,329.7,351.7,346.7,58.0,6.0,20.0,StafMa00,LAR,75.0,132.0,56.82,570.0,40.0,2.0,32.0,64.0,50.0,151.0,26.0,2.0,All Matthew Stafford red zone passing plays,StafMa00,LAR,15.0,7.0,2.0,14.0%,8.0,12.0,2.0,14.8%,5.0,2.0,2.0,23.8%,All Matthew Stafford red zone rushing plays,StafMa00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,62.0
Logan Thomas,82.0,TE7,84.0,287.0,WAS,TE,30.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,196.0,10.89,3.0,1.0,1.0,3.0,0.0,0.0,36.0,53.6,57.6,44.6,0.0,45.0,0.0,ThomLo00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,WAS,5.0,4.0,80.00%,34.0,3.0,9.6%,3.0,2.0,66.67%,9.0,2.0,13.0%,All Logan Thomas red zone receiving plays,ThomLo00,-203.0
DeVonta Smith,83.0,WR33,84.0,103.0,PHI,WR,23.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,64.0,916.0,14.31,5.0,1.0,1.0,5.0,1.0,0.0,122.0,185.6,189.6,153.6,0.0,30.0,0.0,SmitDe07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,PHI,9.0,4.0,44.44%,37.0,3.0,15.0%,5.0,2.0,40.00%,9.0,2.0,18.5%,All DeVonta Smith red zone receiving plays,SmitDe07,-19.0
Robbie Anderson,84.0,WR34,85.0,146.0,CAR,WR,28.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,12.0,0.0,110.0,53.0,519.0,9.79,5.0,0.0,0.0,5.0,0.0,0.0,86.0,138.5,141.5,112.0,0.0,51.0,0.0,AndeRo04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CAR,1.0,3.0,0.0,1.4%,1.0,3.0,0.0,2.7%,0.0,0.0,0.0,.0%,All Robbie Anderson red zone rushing plays,AndeRo04,CAR,8.0,4.0,50.00%,33.0,4.0,16.0%,5.0,3.0,60.00%,14.0,3.0,19.2%,All Robbie Anderson red zone receiving plays,AndeRo04,-61.0
Ryan Tannehill,85.0,QB11,86.5,78.0,TEN,QB,33.0,17.0,17.0,357.0,531.0,3734.0,21.0,14.0,55.0,270.0,4.91,7.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,7.0,0.0,1.0,268.0,268.4,292.4,282.4,0.0,12.0,78.0,TannRy00,TEN,50.0,81.0,61.73,346.0,19.0,4.0,22.0,35.0,62.86,75.0,12.0,2.0,All Ryan Tannehill red zone passing plays,TannRy00,TEN,14.0,32.0,7.0,16.9%,9.0,19.0,7.0,20.0%,6.0,10.0,6.0,26.1%,All Ryan Tannehill red zone rushing plays,TannRy00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,8.5
Robert Tonyan,86.0,TE8,88.0,307.0,GNB,TE,27.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,18.0,204.0,11.33,2.0,0.0,0.0,2.0,0.0,0.0,32.0,50.4,53.4,41.4,0.0,49.0,0.0,TonyRo00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,GNB,4.0,3.0,75.00%,12.0,0.0,3.4%,2.0,2.0,100.00%,7.0,0.0,3.9%,All Robert Tonyan red zone receiving plays,TonyRo00,-219.0
Deebo Samuel,87.0,WR35,88.5,3.0,SFO,WR,25.0,16.0,15.0,1.0,2.0,24.0,1.0,0.0,59.0,365.0,6.19,8.0,121.0,77.0,1405.0,18.25,6.0,4.0,2.0,14.0,0.0,0.0,262.0,339.0,347.0,300.5,132.0,2.0,3.0,SamuDe00,SFO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Deebo Samuel red zone passing plays,SamuDe00,SFO,15.0,70.0,5.0,23.4%,9.0,21.0,3.0,23.1%,1.0,3.0,1.0,6.7%,All Deebo Samuel red zone rushing plays,SamuDe00,SFO,10.0,5.0,50.00%,44.0,2.0,16.7%,5.0,2.0,40.00%,15.0,1.0,16.7%,All Deebo Samuel red zone receiving plays,SamuDe00,85.5
Antonio Brown ,88.0,WR36,90.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,90.3
AJ Dillon,89.0,RB34,91.3,70.0,GNB,RB,23.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,187.0,803.0,4.29,5.0,37.0,34.0,313.0,9.21,2.0,2.0,1.0,7.0,0.0,0.0,152.0,185.6,192.6,168.6,5.0,21.0,70.0,DillAJ00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,GNB,41.0,114.0,6.0,46.1%,22.0,39.0,6.0,48.9%,10.0,13.0,4.0,50.0%,All AJ Dillon red zone rushing plays,DillAJ00,GNB,5.0,5.0,100.00%,36.0,2.0,4.2%,1.0,1.0,100.00%,5.0,1.0,2.0%,All AJ Dillon red zone receiving plays,DillAJ00,21.299999999999997
Zack Moss,90.0,RB35,91.3,164.0,BUF,RB,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,345.0,3.59,4.0,32.0,23.0,197.0,8.57,1.0,2.0,1.0,5.0,0.0,0.0,82.0,105.2,112.2,93.7,0.0,53.0,0.0,MossZa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BUF,26.0,57.0,4.0,22.6%,17.0,22.0,4.0,27.0%,6.0,-2.0,3.0,23.1%,All Zack Moss red zone rushing plays,MossZa00,BUF,4.0,2.0,50.00%,9.0,1.0,3.3%,3.0,1.0,33.33%,7.0,1.0,5.7%,All Zack Moss red zone receiving plays,MossZa00,-72.7
Tyler Boyd,91.0,WR37,91.8,108.0,CIN,WR,27.0,16.0,10.0,1.0,1.0,46.0,0.0,0.0,2.0,22.0,11.0,0.0,94.0,67.0,828.0,12.36,5.0,1.0,0.0,5.0,0.0,0.0,117.0,183.8,186.8,150.3,0.0,33.0,0.0,BoydTy00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,CIN,11.0,7.0,63.64%,66.0,4.0,14.7%,5.0,3.0,60.00%,25.0,3.0,13.9%,All Tyler Boyd red zone receiving plays,BoydTy00,-16.200000000000003
James Conner,92.0,RB36,92.5,16.0,ARI,RB,26.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,202.0,752.0,3.72,15.0,39.0,37.0,375.0,10.14,3.0,2.0,0.0,18.0,0.0,0.0,221.0,257.7,263.7,239.2,70.0,5.0,16.0,ConnJa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ARI,42.0,124.0,16.0,42.0%,29.0,60.0,13.0,50.9%,17.0,12.0,11.0,58.6%,All James Conner red zone rushing plays,ConnJa00,ARI,2.0,2.0,100.00%,18.0,0.0,2.5%,1.0,1.0,100.00%,5.0,0.0,2.6%,All James Conner red zone receiving plays,ConnJa00,76.5
Noah Fant,93.0,TE9,94.8,139.0,DEN,TE,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,68.0,670.0,9.85,4.0,0.0,0.0,4.0,0.0,0.0,91.0,159.0,162.0,125.0,0.0,13.0,0.0,FantNo00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,DEN,12.0,7.0,58.33%,48.0,4.0,20.7%,4.0,3.0,75.00%,12.0,3.0,12.5%,All Noah Fant red zone receiving plays,FantNo00,-44.2
DJ Chark,94.0,WR38,96.3,320.0,JAX,WR,25.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,154.0,22.0,2.0,0.0,0.0,2.0,0.0,0.0,27.0,34.4,37.4,30.9,0.0,129.0,0.0,CharDJ00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,JAX,1.0,1.0,100.00%,12.0,1.0,1.9%,0.0,0.0,0,0.0,0.0,.0%,All DJ Chark red zone receiving plays,CharDJ00,-223.7
Michael Carter,95.0,RB37,96.5,105.0,NYJ,RB,22.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,147.0,639.0,4.35,4.0,55.0,36.0,325.0,9.03,0.0,1.0,1.0,4.0,0.0,0.0,118.0,154.4,161.4,136.4,0.0,30.0,0.0,CartMi03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NYJ,25.0,57.0,4.0,35.2%,16.0,40.0,4.0,34.8%,8.0,8.0,3.0,29.6%,All Michael Carter red zone rushing plays,CartMi03,NYJ,2.0,2.0,100.00%,6.0,0.0,3.3%,1.0,1.0,100.00%,2.0,0.0,4.3%,All Michael Carter red zone receiving plays,CartMi03,-8.5
Jalen Hurts,96.0,QB12,97.0,31.0,PHI,QB,23.0,15.0,15.0,265.0,432.0,3144.0,16.0,9.0,139.0,784.0,5.64,10.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,10.0,0.0,3.0,312.0,312.2,329.2,321.2,41.0,9.0,31.0,HurtJa00,PHI,33.0,56.0,58.93,267.0,14.0,1.0,12.0,24.0,50.0,40.0,7.0,1.0,All Jalen Hurts red zone passing plays,HurtJa00,PHI,31.0,101.0,9.0,29.8%,22.0,36.0,9.0,31.4%,13.0,16.0,7.0,36.1%,All Jalen Hurts red zone rushing plays,HurtJa00,PHI,1.0,0.0,0.00%,0.0,0.0,1.7%,1.0,0.0,0.00%,0.0,0.0,3.7%,All Jalen Hurts red zone receiving plays,HurtJa00,66.0
Brandin Cooks,97.0,WR39,98.8,56.0,HOU,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,0.0,134.0,90.0,1037.0,11.52,6.0,0.0,0.0,6.0,0.0,0.0,142.0,231.8,234.8,186.8,19.0,20.0,56.0,CookBr00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,HOU,10.0,7.0,70.00%,55.0,2.0,21.3%,3.0,3.0,100.00%,19.0,2.0,12.5%,All Brandin Cooks red zone receiving plays,CookBr00,42.8
Jarvis Landry,98.0,WR40,98.8,166.0,CLE,WR,29.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,40.0,6.67,2.0,87.0,52.0,570.0,10.96,2.0,3.0,2.0,4.0,0.0,0.0,81.0,133.0,138.0,107.0,0.0,56.0,0.0,LandJa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CLE,4.0,26.0,2.0,4.5%,2.0,5.0,1.0,4.7%,1.0,0.0,0.0,5.3%,All Jarvis Landry red zone rushing plays,LandJa00,CLE,10.0,6.0,60.00%,42.0,1.0,17.9%,4.0,2.0,50.00%,14.0,1.0,14.3%,All Jarvis Landry red zone receiving plays,LandJa00,-67.2
Devin Singletary,99.0,RB38,98.8,66.0,BUF,RB,24.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,188.0,870.0,4.63,7.0,50.0,40.0,228.0,5.7,1.0,5.0,0.0,8.0,0.0,0.0,158.0,197.8,203.8,177.8,11.0,19.0,66.0,SingDe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BUF,46.0,139.0,9.0,40.0%,23.0,37.0,7.0,36.5%,11.0,16.0,6.0,42.3%,All Devin Singletary red zone rushing plays,SingDe00,BUF,6.0,6.0,100.00%,19.0,1.0,5.0%,2.0,2.0,100.00%,3.0,1.0,3.8%,All Devin Singletary red zone receiving plays,SingDe00,32.8
Dallas Goedert,100.0,TE10,99.8,57.0,PHI,TE,26.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,56.0,830.0,14.82,4.0,1.0,0.0,4.0,1.0,0.0,109.0,165.0,168.0,137.0,16.0,8.0,57.0,GoedDa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,PHI,6.0,5.0,83.33%,52.0,2.0,10.0%,3.0,2.0,66.67%,12.0,2.0,11.1%,All Dallas Goedert red zone receiving plays,GoedDa00,42.8
Rob Gronkowski,101.0,TE11,100.5,48.0,TAM,TE,32.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,55.0,802.0,14.58,6.0,0.0,0.0,6.0,0.0,0.0,116.0,171.2,174.2,143.7,23.0,5.0,48.0,GronRo00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,TAM,13.0,6.0,46.15%,36.0,5.0,10.0%,7.0,3.0,42.86%,5.0,3.0,11.3%,All Rob Gronkowski red zone receiving plays,GronRo00,52.5
Corey Davis,102.0,WR41,101.3,182.0,NYJ,WR,26.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,34.0,492.0,14.47,4.0,2.0,1.0,4.0,0.0,0.0,71.0,105.2,109.2,88.2,0.0,64.0,0.0,DaviCo03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,NYJ,4.0,3.0,75.00%,14.0,2.0,6.6%,2.0,2.0,100.00%,11.0,2.0,8.7%,All Corey Davis red zone receiving plays,DaviCo03,-80.7
Los Angeles Rams,103.0,DST1,102.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,102.5
Laviska Shenault Jr.,104.0,WR42,102.8,193.0,JAX,WR,23.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,41.0,3.73,0.0,100.0,63.0,619.0,9.83,0.0,1.0,1.0,0.0,0.0,0.0,64.0,127.0,131.0,95.5,0.0,69.0,0.0,ShenLa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,-90.2
Sony Michel,105.0,RB39,106.3,101.0,LAR,RB,26.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,208.0,845.0,4.06,4.0,33.0,21.0,128.0,6.1,1.0,1.0,1.0,5.0,0.0,0.0,125.0,146.3,153.3,135.8,0.0,27.0,0.0,MichSo00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LAR,50.0,99.0,4.0,46.7%,26.0,44.0,4.0,48.1%,7.0,4.0,3.0,33.3%,All Sony Michel red zone rushing plays,MichSo00,LAR,3.0,2.0,66.67%,-1.0,1.0,2.3%,1.0,1.0,100.00%,3.0,1.0,1.6%,All Sony Michel red zone receiving plays,MichSo00,5.299999999999997
Pittsburgh Steelers,106.0,DST2,107.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,107.0
Joe Burrow,107.0,QB13,107.8,29.0,CIN,QB,25.0,16.0,16.0,366.0,520.0,4611.0,34.0,14.0,40.0,118.0,2.95,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,314.0,314.2,336.2,328.2,43.0,8.0,29.0,BurrJo01,CIN,40.0,73.0,54.79,265.0,19.0,3.0,18.0,33.0,54.55,96.0,16.0,1.0,All Joe Burrow red zone passing plays,BurrJo01,CIN,10.0,18.0,2.0,13.7%,7.0,10.0,2.0,16.3%,4.0,-1.0,0.0,20.0%,All Joe Burrow red zone rushing plays,BurrJo01,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,78.8
Tampa Bay Buccaneers,108.0,DST3,108.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,108.0
Kenyan Drake,109.0,RB40,110.8,177.0,LVR,RB,27.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,63.0,254.0,4.03,2.0,40.0,30.0,291.0,9.7,1.0,1.0,0.0,3.0,0.0,0.0,73.0,102.5,108.5,87.5,0.0,57.0,0.0,DrakKe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LVR,11.0,59.0,2.0,14.7%,2.0,8.0,1.0,5.4%,1.0,4.0,1.0,5.0%,All Kenyan Drake red zone rushing plays,DrakKe00,LVR,5.0,4.0,80.00%,25.0,0.0,5.7%,0.0,0.0,0,0.0,0.0,.0%,All Kenyan Drake red zone receiving plays,DrakKe00,-66.2
Michael Pittman Jr.,110.0,WR43,111.8,45.0,IND,WR,24.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,8.8,0.0,129.0,88.0,1082.0,12.3,6.0,1.0,0.0,6.0,1.0,0.0,151.0,238.6,241.6,194.6,27.0,16.0,45.0,PittMi01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,66.8
