Player,Rank,POS,AVG,Rk,Tmrank,FantPos,Age,G,GS,Cmprank,Attrank,Ydsrank,TDrank,Intrank,Att.1rank,Yds.1rank,Y/A,TD.1rank,Tgtrzru,Recrzru,Yds.2rzpa,Y/R,TD.2rzpa,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999rank,Tmrzpa,Cmprzpa,Attrzpa,Cmp%,Ydsrzpa,TDrzpa,Intrzpa,Cmp.1,Att.1rzpa,Cmp%.1,Yds.1rzpa,TD.1rzpa,Int.1,Linkrzpa,-9999rzpa,Tmrzru,Att,Ydsrzru,TDrzru,%Rush,Att.1,Yds.1rzru,TD.1rzru,%Rush.1,Att.2,Yds.2rzru,TD.2rzru,%Rush.2,Linkrzru,-9999rzru,Tmrzre,Tgtrzre,Recrzre,Ctch%,Ydsrzre,TDrzre,%Tgt,Tgt.1,Rec.1,Ctch%.1,Yds.1rzre,TD.1rzre,%Tgt.1,Link,-9999rzre,Difference
Dak Prescott,53.0,QB7,53.8,23.0,DAL,QB,28.0,16.0,16.0,410.0,596.0,4449.0,37.0,10.0,48.0,146.0,3.04,1.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,1.0,1.0,2.0,321.0,320.6,342.6,330.6,49.0,7.0,23.0,PresDa01,DAL,63.0,99.0,63.64,415.0,26.0,1.0,25.0,36.0,69.44,114.0,21.0,0.0,All Dak Prescott red zone passing plays,PresDa01,DAL,16.0,25.0,2.0,21.6%,10.0,21.0,2.0,29.4%,4.0,4.0,1.0,20.0%,All Dak Prescott red zone rushing plays,PresDa01,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,30.799999999999997
Mark Andrews,54.0,TE5,54.5,8.0,BAL,TE,26.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,153.0,107.0,1361.0,12.72,9.0,1.0,0.0,9.0,2.0,0.0,194.0,301.1,304.1,247.6,96.0,1.0,8.0,AndrMa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BAL,1.0,0.0,0.0,1.5%,0.0,0.0,0.0,.0%,0.0,0.0,0.0,.0%,All Mark Andrews red zone rushing plays,AndrMa00,BAL,20.0,12.0,60.00%,96.0,9.0,27.4%,11.0,8.0,72.73%,52.0,7.0,32.4%,All Mark Andrews red zone receiving plays,AndrMa00,46.5
Tyler Lockett,55.0,WR20,55.0,27.0,SEA,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.5,0.0,107.0,73.0,1175.0,16.1,8.0,0.0,0.0,8.0,1.0,0.0,168.0,241.4,244.4,204.9,44.0,11.0,27.0,LockTy00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,SEA,7.0,4.0,57.14%,20.0,3.0,13.5%,2.0,2.0,100.00%,6.0,2.0,10.5%,All Tyler Lockett red zone receiving plays,LockTy00,28.0
Raheem Mostert,56.0,RB24,55.0,525.0,SFO,RB,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,147.0,0.0,MostRa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,-470.0
DJ Moore,57.0,WR21,55.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,55.5
Darrell Henderson,58.0,RB25,57.0,98.0,LAR,RB,24.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,149.0,688.0,4.62,5.0,40.0,29.0,176.0,6.07,3.0,0.0,0.0,8.0,0.0,0.0,134.0,163.4,169.4,148.9,0.0,26.0,0.0,HendDa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LAR,25.0,73.0,5.0,23.4%,13.0,25.0,5.0,24.1%,7.0,2.0,4.0,33.3%,All Darrell Henderson red zone rushing plays,HendDa00,LAR,10.0,3.0,30.00%,26.0,2.0,7.7%,5.0,2.0,40.00%,9.0,2.0,8.1%,All Darrell Henderson red zone receiving plays,HendDa00,-41.0
Justin Herbert,59.0,QB8,57.5,6.0,LAC,QB,23.0,17.0,17.0,443.0,672.0,5014.0,38.0,15.0,63.0,302.0,4.79,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,381.0,380.8,402.8,395.8,106.0,2.0,6.0,HerbJu00,LAC,58.0,104.0,55.77,381.0,28.0,1.0,25.0,53.0,47.17,111.0,18.0,1.0,All Justin Herbert red zone passing plays,HerbJu00,LAC,22.0,35.0,3.0,22.0%,12.0,16.0,3.0,23.1%,5.0,1.0,1.0,21.7%,All Justin Herbert red zone rushing plays,HerbJu00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,51.5
Diontae Johnson,60.0,WR22,59.3,30.0,PIT,WR,25.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,53.0,10.6,0.0,169.0,107.0,1161.0,10.85,8.0,2.0,2.0,8.0,1.0,0.0,167.0,274.4,279.4,220.9,43.0,12.0,30.0,JohnDi01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,PIT,22.0,13.0,59.09%,90.0,6.0,22.4%,10.0,6.0,60.00%,31.0,4.0,22.7%,All Diontae Johnson red zone receiving plays,JohnDi01,29.299999999999997
Javonte Williams,61.0,RB26,61.3,60.0,DEN,RB,21.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,203.0,903.0,4.45,4.0,53.0,43.0,316.0,7.35,3.0,2.0,1.0,7.0,0.0,0.0,162.0,204.9,211.9,183.4,15.0,18.0,60.0,WillJa10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,DEN,29.0,45.0,4.0,35.8%,21.0,21.0,4.0,44.7%,9.0,2.0,2.0,45.0%,All Javonte Williams red zone rushing plays,WillJa10,DEN,7.0,6.0,85.71%,58.0,3.0,12.1%,3.0,2.0,66.67%,20.0,2.0,9.4%,All Javonte Williams red zone receiving plays,WillJa10,1.2999999999999972
Chase Edmonds,62.0,RB27,62.0,127.0,ARI,RB,25.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,116.0,592.0,5.1,2.0,53.0,43.0,311.0,7.23,0.0,1.0,1.0,2.0,0.0,0.0,100.0,143.3,150.3,121.8,0.0,37.0,0.0,EdmoCh00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ARI,20.0,57.0,2.0,20.0%,12.0,13.0,1.0,21.1%,5.0,4.0,1.0,17.2%,All Chase Edmonds red zone rushing plays,EdmoCh00,ARI,6.0,6.0,100.00%,17.0,0.0,7.5%,1.0,1.0,100.00%,5.0,0.0,2.6%,All Chase Edmonds red zone receiving plays,EdmoCh00,-65.0
