Player,Rank,POS,AVG,Rk,Tmrank,FantPos,Age,G,GS,Cmprank,Attrank,Ydsrank,TDrank,Intrank,Att.1rank,Yds.1rank,Y/A,TD.1rank,Tgtrzru,Recrzru,Yds.2rzpa,Y/R,TD.2rzpa,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999rank,Tmrzpa,Cmprzpa,Attrzpa,Cmp%,Ydsrzpa,TDrzpa,Intrzpa,Cmp.1,Att.1rzpa,Cmp%.1,Yds.1rzpa,TD.1rzpa,Int.1,Linkrzpa,-9999rzpa,Tmrzru,Att,Ydsrzru,TDrzru,%Rush,Att.1,Yds.1rzru,TD.1rzru,%Rush.1,Att.2,Yds.2rzru,TD.2rzru,%Rush.2,Linkrzru,-9999rzru,Tmrzre,Tgtrzre,Recrzre,Ctch%,Ydsrzre,TDrzre,%Tgt,Tgt.1,Rec.1,Ctch%.1,Yds.1rzre,TD.1rzre,%Tgt.1,Link,-9999rzre
Todd Gurley,11.0,RB9,11.8,24.0,LAR,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,223.0,857.0,3.84,12.0,49.0,31.0,207.0,6.68,2.0,3.0,2.0,14.0,1.0,0.0,188.0,219.4,227.4,203.9,48.0,12.0,24.0,GurlTo01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LAR,51.0,139.0,12.0,63.0%,29.0,50.0,11.0,55.8%,12.0,12.0,6.0,54.5%,All Todd Gurley red zone rushing plays,GurlTo01,LAR,4.0,3.0,75.00%,8.0,2.0,6.0%,1.0,1.0,100.00%,2.0,1.0,2.9%,All Todd Gurley red zone receiving plays,GurlTo01
Patrick Mahomes,12.0,QB1,12.0,48.0,KAN,QB,24.0,14.0,14.0,319.0,484.0,4031.0,26.0,5.0,43.0,218.0,5.07,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,287.0,287.0,300.0,292.0,23.0,7.0,48.0,MahoPa00,KAN,29.0,56.0,51.79,206.0,11.0,1.0,11.0,25.0,44.0,29.0,6.0,1.0,All Patrick Mahomes red zone passing plays,MahoPa00,KAN,7.0,45.0,2.0,10.4%,3.0,11.0,0.0,8.6%,0.0,0.0,0.0,.0%,All Patrick Mahomes red zone rushing plays,MahoPa00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
Michael Thomas,13.0,WR3,12.8,7.0,NOR,WR,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0,-9.0,0.0,185.0,149.0,1725.0,11.58,9.0,1.0,0.0,9.0,0.0,0.0,226.0,374.6,377.6,300.1,97.0,1.0,7.0,ThomMi05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,NOR,22.0,16.0,72.73%,145.0,8.0,28.6%,9.0,4.0,44.44%,15.0,4.0,25.7%,All Michael Thomas red zone receiving plays,ThomMi05
Julio Jones,14.0,WR4,13.0,27.0,ATL,WR,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,-1.5,0.0,157.0,99.0,1394.0,14.08,6.0,1.0,0.0,6.0,0.0,0.0,175.0,274.1,277.1,224.6,46.0,5.0,27.0,JoneJu02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,ATL,16.0,12.0,75.00%,63.0,5.0,20.5%,8.0,7.0,87.50%,38.0,5.0,25.0%,All Julio Jones red zone receiving plays,JoneJu02
Dalvin Cook,15.0,RB10,16.3,6.0,MIN,RB,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,250.0,1135.0,4.54,13.0,63.0,53.0,519.0,9.79,0.0,4.0,2.0,13.0,0.0,0.0,239.0,292.4,300.4,265.9,99.0,5.0,6.0,CookDa01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,MIN,43.0,114.0,12.0,47.8%,32.0,62.0,11.0,52.5%,15.0,22.0,9.0,62.5%,All Dalvin Cook red zone rushing plays,CookDa01,MIN,2.0,2.0,100.00%,3.0,0.0,4.1%,0.0,0.0,0,0.0,0.0,.0%,All Dalvin Cook red zone receiving plays,CookDa01
Tyreek Hill,16.0,WR5,16.3,73.0,KAN,WR,25.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,2.88,0.0,89.0,58.0,860.0,14.83,7.0,0.0,0.0,7.0,0.0,0.0,130.0,188.3,191.3,159.3,1.0,28.0,73.0,HillTy00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,KAN,2.0,10.0,0.0,3.0%,0.0,0.0,0.0,.0%,0.0,0.0,0.0,.0%,All Tyreek Hill red zone rushing plays,HillTy00,KAN,7.0,4.0,57.14%,24.0,3.0,11.1%,5.0,2.0,40.00%,11.0,2.0,17.2%,All Tyreek Hill red zone receiving plays,HillTy00
JuJu Smith-Schuster,17.0,WR6,17.0,172.0,PIT,WR,23.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,42.0,552.0,13.14,3.0,1.0,1.0,3.0,0.0,0.0,71.0,113.2,117.2,92.2,0.0,66.0,0.0,SmitJu00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,PIT,6.0,3.0,50.00%,16.0,0.0,13.6%,1.0,0.0,0.00%,0.0,0.0,6.7%,All JuJu Smith-Schuster red zone receiving plays,SmitJu00
Odell Beckham Jr.,18.0,WR7,17.0,102.0,CLE,WR,27.0,16.0,15.0,1.0,2.0,20.0,0.0,0.0,3.0,10.0,3.33,0.0,133.0,74.0,1035.0,13.99,4.0,1.0,1.0,4.0,0.0,0.0,127.0,201.3,205.3,164.3,0.0,31.0,0.0,BeckOd00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
Joe Mixon,19.0,RB11,17.3,23.0,CIN,RB,23.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,278.0,1137.0,4.09,5.0,45.0,35.0,287.0,8.2,3.0,0.0,0.0,8.0,0.0,0.0,190.0,225.4,231.4,207.9,50.0,11.0,23.0,MixoJo00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CIN,40.0,95.0,5.0,71.4%,25.0,38.0,5.0,75.8%,16.0,12.0,4.0,76.2%,All Joe Mixon red zone rushing plays,MixoJo00,CIN,7.0,7.0,100.00%,18.0,3.0,9.5%,4.0,4.0,100.00%,3.0,3.0,11.1%,All Joe Mixon red zone receiving plays,MixoJo00
Travis Kelce,20.0,TE1,18.8,8.0,KAN,TE,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,136.0,97.0,1229.0,12.67,5.0,1.0,1.0,6.0,0.0,0.0,157.0,254.3,258.3,205.8,80.0,1.0,8.0,KelcTr00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,KAN,1.0,4.0,1.0,1.5%,1.0,4.0,1.0,2.9%,1.0,4.0,1.0,5.9%,All Travis Kelce red zone rushing plays,KelcTr00,KAN,19.0,7.0,36.84%,41.0,2.0,30.2%,12.0,3.0,25.00%,6.0,2.0,41.4%,All Travis Kelce red zone receiving plays,KelcTr00
