Player,Rank,POS,AVG,Rk,Tmrank,FantPos,Age,G,GS,Cmprank,Attrank,Ydsrank,TDrank,Intrank,Att.1rank,Yds.1rank,Y/A,TD.1rank,Tgtrzru,Recrzru,Yds.2rzpa,Y/R,TD.2rzpa,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999rank,Tmrzpa,Cmprzpa,Attrzpa,Cmp%,Ydsrzpa,TDrzpa,Intrzpa,Cmp.1,Att.1rzpa,Cmp%.1,Yds.1rzpa,TD.1rzpa,Int.1,Linkrzpa,-9999rzpa,Tmrzru,Att,Ydsrzru,TDrzru,%Rush,Att.1,Yds.1rzru,TD.1rzru,%Rush.1,Att.2,Yds.2rzru,TD.2rzru,%Rush.2,Linkrzru,-9999rzru,Tmrzre,Tgtrzre,Recrzre,Ctch%,Ydsrzre,TDrzre,%Tgt,Tgt.1,Rec.1,Ctch%.1,Yds.1rzre,TD.1rzre,%Tgt.1,Link,-9999rzre
George Kittle,31.0,TE3,32.8,16.0,SFO,TE,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,4.4,0.0,107.0,85.0,1053.0,12.39,5.0,1.0,0.0,5.0,0.0,0.0,138.0,222.5,225.5,180.0,61.0,3.0,16.0,KittGe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,SFO,2.0,-5.0,0.0,2.6%,1.0,-2.0,0.0,2.5%,1.0,-2.0,0.0,4.5%,All George Kittle red zone rushing plays,KittGe00,SFO,16.0,10.0,62.50%,57.0,2.0,22.5%,9.0,5.0,55.56%,29.0,2.0,23.1%,All George Kittle red zone receiving plays,KittGe00
Josh Jacobs,32.0,RB17,33.0,36.0,OAK,RB,21.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,242.0,1150.0,4.75,7.0,27.0,20.0,166.0,8.3,0.0,1.0,1.0,7.0,0.0,0.0,172.0,191.6,198.6,181.6,31.0,14.0,36.0,JacoJo01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OAK,41.0,131.0,7.0,65.1%,21.0,31.0,5.0,61.8%,10.0,14.0,5.0,52.6%,All Josh Jacobs red zone rushing plays,JacoJo01,OAK,2.0,1.0,50.00%,4.0,0.0,3.3%,2.0,1.0,50.00%,4.0,0.0,7.1%,All Josh Jacobs red zone receiving plays,JacoJo01
Devonta Freeman,33.0,RB18,33.3,97.0,ATL,RB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,184.0,656.0,3.57,2.0,70.0,59.0,410.0,6.95,4.0,3.0,2.0,6.0,0.0,0.0,139.0,197.6,205.6,168.1,0.0,26.0,0.0,FreeDe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ATL,20.0,73.0,2.0,36.4%,3.0,2.0,0.0,14.3%,1.0,0.0,0.0,9.1%,All Devonta Freeman red zone rushing plays,FreeDe00,ATL,10.0,7.0,70.00%,49.0,4.0,12.8%,5.0,4.0,80.00%,31.0,3.0,15.6%,All Devonta Freeman red zone receiving plays,FreeDe00
Amari Cooper,34.0,WR12,33.3,32.0,DAL,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,119.0,79.0,1189.0,15.05,8.0,0.0,0.0,8.0,0.0,0.0,168.0,246.5,249.5,207.0,38.0,7.0,32.0,CoopAm00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,DAL,9.0,6.0,66.67%,73.0,5.0,15.5%,3.0,2.0,66.67%,15.0,2.0,15.0%,All Amari Cooper red zone receiving plays,CoopAm00
Stefon Diggs,35.0,WR13,34.8,52.0,MIN,WR,26.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,5.0,61.0,12.2,0.0,94.0,63.0,1130.0,17.94,6.0,4.0,3.0,6.0,0.0,0.0,149.0,212.1,218.1,180.6,20.0,18.0,52.0,DiggSt00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,MIN,5.0,1.0,20.00%,11.0,1.0,10.2%,2.0,0.0,0.00%,0.0,0.0,9.5%,All Stefon Diggs red zone receiving plays,DiggSt00
Derrick Henry,36.0,RB19,36.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,TEN,42.0,144.0,13.0,76.4%,24.0,52.0,10.0,82.8%,10.0,10.0,7.0,83.3%,All Derrick Henry red zone rushing plays,HenrDe00,TEN,1.0,1.0,100.00%,6.0,0.0,2.1%,0.0,0.0,0,0.0,0.0,.0%,All Derrick Henry red zone receiving plays,HenrDe00
Deshaun Watson,37.0,QB2,38.0,17.0,HOU,QB,24.0,15.0,15.0,333.0,495.0,3852.0,26.0,12.0,82.0,413.0,5.04,7.0,1.0,1.0,6.0,6.0,1.0,10.0,3.0,8.0,0.0,1.0,320.0,321.0,342.0,332.5,56.0,4.0,17.0,WatsDe00,HOU,33.0,59.0,55.93,284.0,18.0,2.0,11.0,22.0,50.0,48.0,8.0,1.0,All Deshaun Watson red zone passing plays,WatsDe00,HOU,14.0,38.0,6.0,23.0%,8.0,18.0,6.0,26.7%,6.0,12.0,5.0,31.6%,All Deshaun Watson red zone rushing plays,WatsDe00,HOU,1.0,1.0,100.00%,6.0,1.0,1.6%,1.0,1.0,100.00%,6.0,1.0,4.2%,All Deshaun Watson red zone receiving plays,WatsDe00
David Montgomery,38.0,RB20,39.0,67.0,CHI,RB,22.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,242.0,889.0,3.67,6.0,35.0,25.0,185.0,7.4,1.0,2.0,2.0,7.0,0.0,0.0,145.0,170.4,178.4,157.9,5.0,22.0,67.0,MontDa01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CHI,33.0,64.0,6.0,64.7%,23.0,36.0,5.0,69.7%,14.0,11.0,5.0,87.5%,All David Montgomery red zone rushing plays,MontDa01,CHI,2.0,2.0,100.00%,6.0,1.0,3.0%,1.0,1.0,100.00%,3.0,1.0,3.0%,All David Montgomery red zone receiving plays,MontDa01
Marlon Mack,39.0,RB21,39.0,42.0,IND,RB,23.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,247.0,1091.0,4.42,8.0,17.0,14.0,82.0,5.86,0.0,0.0,0.0,8.0,1.0,0.0,167.0,181.3,184.3,174.3,27.0,17.0,42.0,MackMa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,IND,32.0,91.0,7.0,44.4%,17.0,34.0,6.0,43.6%,8.0,4.0,3.0,42.1%,All Marlon Mack red zone rushing plays,MackMa00,IND,1.0,1.0,100.00%,2.0,0.0,1.5%,0.0,0.0,0,0.0,0.0,.0%,All Marlon Mack red zone receiving plays,MackMa00
Brandin Cooks,40.0,WR14,39.3,157.0,LAR,WR,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0,8.67,0.0,72.0,42.0,583.0,13.88,2.0,0.0,0.0,2.0,0.0,0.0,76.0,117.5,120.5,96.5,0.0,61.0,0.0,CookBr00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,LAR,5.0,3.0,60.00%,14.0,2.0,7.5%,5.0,3.0,60.00%,14.0,2.0,14.3%,All Brandin Cooks red zone receiving plays,CookBr00
Mark Ingram,41.0,RB22,42.5,11.0,BAL,RB,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,202.0,1018.0,5.04,10.0,29.0,26.0,247.0,9.5,5.0,2.0,2.0,15.0,2.0,0.0,217.0,242.5,250.5,229.5,76.0,8.0,11.0,IngrMa01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BAL,40.0,130.0,10.0,38.5%,26.0,43.0,9.0,45.6%,15.0,14.0,8.0,53.6%,All Mark Ingram red zone rushing plays,IngrMa01,BAL,6.0,6.0,100.00%,42.0,4.0,9.5%,2.0,2.0,100.00%,17.0,2.0,6.7%,All Mark Ingram red zone receiving plays,IngrMa01
Robert Woods,42.0,WR15,43.3,59.0,LAR,WR,27.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,17.0,115.0,6.76,1.0,139.0,90.0,1134.0,12.6,2.0,0.0,0.0,3.0,0.0,0.0,143.0,232.9,238.9,187.9,14.0,22.0,59.0,WoodRo02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LAR,2.0,8.0,1.0,2.5%,2.0,8.0,1.0,3.8%,0.0,0.0,0.0,.0%,All Robert Woods red zone rushing plays,WoodRo02,LAR,9.0,6.0,66.67%,39.0,2.0,13.4%,4.0,2.0,50.00%,3.0,1.0,11.4%,All Robert Woods red zone receiving plays,WoodRo02
Julian Edelman,43.0,WR16,44.0,40.0,NWE,WR,33.0,16.0,13.0,2.0,2.0,47.0,1.0,0.0,8.0,27.0,3.38,0.0,153.0,100.0,1117.0,11.17,6.0,3.0,1.0,6.0,1.0,0.0,156.0,256.3,260.3,206.3,27.0,13.0,40.0,EdelJu00,NWE,1.0,1.0,100.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Julian Edelman red zone passing plays,EdelJu00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,NWE,20.0,14.0,70.00%,93.0,4.0,23.5%,9.0,5.0,55.56%,26.0,3.0,22.0%,All Julian Edelman red zone receiving plays,EdelJu00
Sony Michel,44.0,RB23,44.8,78.0,NWE,RB,24.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,247.0,912.0,3.69,7.0,20.0,12.0,94.0,7.83,0.0,2.0,1.0,7.0,0.0,0.0,141.0,152.6,156.6,146.6,0.0,24.0,78.0,MichSo00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NWE,41.0,67.0,7.0,51.2%,27.0,38.0,6.0,50.0%,12.0,14.0,5.0,46.2%,All Sony Michel red zone rushing plays,MichSo00,NWE,3.0,0.0,0.00%,0.0,0.0,3.5%,2.0,0.0,0.00%,0.0,0.0,4.9%,All Sony Michel red zone receiving plays,MichSo00
T.Y. Hilton,45.0,WR17,45.3,151.0,IND,WR,30.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,45.0,501.0,11.13,5.0,0.0,0.0,5.0,0.0,0.0,80.0,125.1,128.1,102.6,0.0,57.0,0.0,HiltT.00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,IND,8.0,7.0,87.50%,43.0,5.0,12.1%,6.0,5.0,83.33%,19.0,4.0,20.0%,All T.Y. Hilton red zone receiving plays,HiltT.00
Tyler Lockett,46.0,WR18,45.5,45.0,SEA,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,-5.0,-1.25,0.0,110.0,82.0,1057.0,12.89,8.0,1.0,0.0,8.0,0.0,0.0,153.0,235.2,238.2,194.2,24.0,15.0,45.0,LockTy00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,SEA,23.0,17.0,73.91%,144.0,7.0,28.4%,7.0,6.0,85.71%,28.0,3.0,21.9%,All Tyler Lockett red zone receiving plays,LockTy00
Aaron Rodgers,47.0,QB3,46.5,56.0,GNB,QB,36.0,16.0,16.0,353.0,569.0,4002.0,26.0,4.0,46.0,183.0,3.98,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,278.0,278.4,292.4,282.4,15.0,9.0,56.0,RodgAa00,GNB,46.0,78.0,58.97,295.0,16.0,2.0,23.0,36.0,63.89,105.0,10.0,1.0,All Aaron Rodgers red zone passing plays,RodgAa00,GNB,9.0,19.0,1.0,16.4%,7.0,11.0,1.0,22.6%,3.0,1.0,1.0,16.7%,All Aaron Rodgers red zone rushing plays,RodgAa00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
Melvin Gordon,48.0,RB24,47.5,98.0,LAC,RB,26.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,162.0,612.0,3.78,8.0,55.0,42.0,296.0,7.05,1.0,4.0,3.0,9.0,0.0,0.0,139.0,180.8,189.8,159.8,0.0,25.0,0.0,GordMe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LAC,30.0,73.0,8.0,51.7%,20.0,32.0,7.0,55.6%,13.0,15.0,6.0,61.9%,All Melvin Gordon red zone rushing plays,GordMe00,LAC,5.0,4.0,80.00%,12.0,1.0,6.8%,2.0,2.0,100.00%,7.0,1.0,5.7%,All Melvin Gordon red zone receiving plays,GordMe00
Kenny Golladay,49.0,WR19,48.5,20.0,DET,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,65.0,1190.0,18.31,11.0,1.0,1.0,11.0,0.0,0.0,183.0,248.0,252.0,215.5,54.0,3.0,20.0,GollKe00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,DET,15.0,8.0,53.33%,58.0,6.0,25.0%,13.0,7.0,53.85%,52.0,6.0,34.2%,All Kenny Golladay red zone receiving plays,GollKe00
Chris Godwin,50.0,WR20,49.0,15.0,TAM,WR,23.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,121.0,86.0,1333.0,15.5,9.0,0.0,0.0,9.0,1.0,0.0,190.0,276.1,279.1,233.1,61.0,2.0,15.0,GodwCh00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,TAM,12.0,8.0,66.67%,47.0,4.0,18.8%,9.0,6.0,66.67%,26.0,4.0,23.7%,All Chris Godwin red zone receiving plays,GodwCh00
Cooper Kupp,51.0,WR21,50.5,26.0,LAR,WR,26.0,16.0,14.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,134.0,94.0,1161.0,12.35,10.0,3.0,0.0,10.0,0.0,0.0,177.0,270.5,273.5,223.5,47.0,4.0,26.0,KuppCo00,LAR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Cooper Kupp red zone passing plays,KuppCo00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,LAR,18.0,13.0,72.22%,81.0,7.0,26.9%,10.0,8.0,80.00%,55.0,6.0,28.6%,All Cooper Kupp red zone receiving plays,KuppCo00
Phillip Lindsay,52.0,RB25,51.5,49.0,DEN,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,224.0,1011.0,4.51,7.0,48.0,35.0,196.0,5.6,0.0,0.0,0.0,7.0,0.0,0.0,163.0,197.7,203.7,180.2,22.0,19.0,49.0,LindPh00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,DEN,27.0,76.0,5.0,45.8%,12.0,25.0,5.0,41.4%,8.0,14.0,5.0,57.1%,All Phillip Lindsay red zone rushing plays,LindPh00,DEN,5.0,2.0,40.00%,8.0,0.0,7.4%,2.0,1.0,50.00%,3.0,0.0,6.9%,All Phillip Lindsay red zone receiving plays,LindPh00
Calvin Ridley,53.0,WR22,54.8,65.0,ATL,WR,25.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,17.0,0.0,93.0,63.0,866.0,13.75,7.0,0.0,0.0,7.0,1.0,0.0,134.0,197.0,200.0,165.5,5.0,23.0,65.0,RidlCa00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,ATL,7.0,4.0,57.14%,46.0,3.0,9.0%,3.0,2.0,66.67%,15.0,2.0,9.4%,All Calvin Ridley red zone receiving plays,RidlCa00
Baker Mayfield,54.0,QB4,56.0,86.0,CLE,QB,24.0,16.0,16.0,317.0,534.0,3827.0,22.0,21.0,28.0,141.0,5.04,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,1.0,229.0,229.2,258.2,250.2,0.0,20.0,0.0,MayfBa00,CLE,30.0,74.0,40.54,186.0,15.0,3.0,15.0,39.0,38.46,66.0,13.0,3.0,All Baker Mayfield red zone passing plays,MayfBa00,CLE,7.0,31.0,3.0,10.4%,6.0,20.0,3.0,14.0%,1.0,1.0,1.0,5.3%,All Baker Mayfield red zone rushing plays,MayfBa00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
O.J. Howard,55.0,TE4,56.5,220.0,TAM,TE,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,34.0,459.0,13.5,1.0,1.0,1.0,1.0,0.0,0.0,50.0,83.9,87.9,66.9,0.0,31.0,0.0,HowaO.00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,TAM,8.0,4.0,50.00%,37.0,1.0,12.5%,3.0,1.0,33.33%,10.0,1.0,7.9%,All O.J. Howard red zone receiving plays,HowaO.00
Tevin Coleman,56.0,RB26,57.0,110.0,SFO,RB,26.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,137.0,544.0,3.97,6.0,30.0,21.0,180.0,8.57,1.0,0.0,0.0,7.0,0.0,0.0,114.0,135.4,141.4,124.9,0.0,32.0,0.0,ColeTe01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,SFO,27.0,67.0,5.0,35.1%,15.0,15.0,3.0,37.5%,8.0,4.0,3.0,36.4%,All Tevin Coleman red zone rushing plays,ColeTe01,SFO,8.0,4.0,50.00%,35.0,1.0,11.3%,4.0,2.0,50.00%,13.0,1.0,10.3%,All Tevin Coleman red zone receiving plays,ColeTe01
Tyler Boyd,57.0,WR23,58.0,68.0,CIN,WR,25.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,5.75,0.0,148.0,90.0,1046.0,11.62,5.0,2.0,2.0,5.0,0.0,0.0,133.0,222.9,227.9,177.9,4.0,25.0,68.0,BoydTy00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,CIN,11.0,7.0,63.64%,68.0,3.0,14.9%,4.0,1.0,25.00%,3.0,1.0,11.1%,All Tyler Boyd red zone receiving plays,BoydTy00
Austin Ekeler,58.0,RB27,60.3,10.0,LAC,RB,24.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,132.0,557.0,4.22,3.0,108.0,92.0,993.0,10.79,8.0,3.0,2.0,11.0,0.0,0.0,217.0,309.0,317.0,263.0,76.0,7.0,10.0,EkelAu00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LAC,16.0,19.0,3.0,27.6%,11.0,12.0,3.0,30.6%,7.0,4.0,2.0,33.3%,All Austin Ekeler red zone rushing plays,EkelAu00,LAC,13.0,10.0,76.92%,69.0,4.0,17.6%,6.0,4.0,66.67%,9.0,2.0,17.1%,All Austin Ekeler red zone receiving plays,EkelAu00
Mike Williams,59.0,WR24,60.8,112.0,LAC,WR,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,90.0,49.0,1001.0,20.43,2.0,0.0,0.0,2.0,0.0,0.0,112.0,161.3,164.3,136.8,0.0,37.0,0.0,WillMi07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,LAC,15.0,3.0,20.00%,18.0,1.0,20.3%,7.0,2.0,28.57%,9.0,1.0,20.0%,All Mike Williams red zone receiving plays,WillMi07
A.J. Green,60.0,WR25,62.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
Evan Engram,61.0,TE5,63.8,181.0,NYG,TE,25.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.33,0.0,68.0,44.0,467.0,10.61,3.0,0.0,0.0,3.0,0.0,0.0,65.0,109.4,112.4,87.4,0.0,19.0,0.0,EngrEv00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,NYG,9.0,3.0,33.33%,3.0,2.0,13.4%,5.0,2.0,40.00%,3.0,2.0,18.5%,All Evan Engram red zone receiving plays,EngrEv00
Matt Ryan,62.0,QB5,64.3,69.0,ATL,QB,34.0,15.0,15.0,408.0,616.0,4466.0,26.0,14.0,34.0,147.0,4.32,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,1.0,267.0,267.3,292.3,281.3,4.0,11.0,69.0,RyanMa00,ATL,43.0,81.0,53.09,299.0,20.0,2.0,18.0,29.0,62.07,110.0,14.0,2.0,All Matt Ryan red zone passing plays,RyanMa00,ATL,3.0,10.0,1.0,5.5%,1.0,1.0,1.0,4.8%,1.0,1.0,1.0,9.1%,All Matt Ryan red zone rushing plays,RyanMa00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
Alshon Jeffery ,63.0,WR26,64.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
James White,64.0,RB28,64.8,101.0,NWE,RB,27.0,15.0,1.0,1.0,1.0,35.0,0.0,0.0,67.0,263.0,3.93,1.0,95.0,72.0,645.0,8.96,5.0,1.0,1.0,6.0,1.0,0.0,128.0,200.2,207.2,164.2,0.0,29.0,0.0,WhitJa02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NWE,13.0,28.0,1.0,16.3%,6.0,11.0,1.0,11.1%,3.0,2.0,1.0,11.5%,All James White red zone rushing plays,WhitJa02,NWE,19.0,16.0,84.21%,75.0,4.0,22.4%,5.0,4.0,80.00%,14.0,1.0,12.2%,All James White red zone receiving plays,WhitJa02
Josh Gordon,65.0,WR27,67.3,227.0,2TM,WR,28.0,11.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,47.0,27.0,426.0,15.78,1.0,0.0,0.0,1.0,0.0,0.0,47.0,73.7,77.7,61.2,0.0,88.0,0.0,GordJo02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,NWE,4.0,1.0,25.00%,7.0,0.0,4.7%,2.0,0.0,0.00%,0.0,0.0,4.9%,All Josh Gordon red zone receiving plays,GordJo02
Hunter Henry,66.0,TE6,68.3,54.0,LAC,TE,25.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,55.0,652.0,11.85,5.0,1.0,1.0,5.0,1.0,0.0,95.0,150.2,154.2,122.7,18.0,8.0,54.0,HenrHu00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,LAC,10.0,7.0,70.00%,45.0,4.0,13.5%,6.0,5.0,83.33%,25.0,3.0,17.1%,All Hunter Henry red zone receiving plays,HenrHu00
DJ Moore,67.0,WR28,68.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
Miles Sanders,68.0,RB29,69.0,38.0,PHI,RB,22.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,179.0,818.0,4.57,3.0,63.0,50.0,509.0,10.18,3.0,2.0,1.0,6.0,1.0,0.0,169.0,218.7,225.7,193.7,28.0,15.0,38.0,SandMi01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,PHI,25.0,70.0,2.0,33.3%,14.0,27.0,2.0,35.0%,6.0,-1.0,2.0,28.6%,All Miles Sanders red zone rushing plays,SandMi01,PHI,10.0,8.0,80.00%,46.0,2.0,14.5%,3.0,1.0,33.33%,-3.0,0.0,10.3%,All Miles Sanders red zone receiving plays,SandMi01
